t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
16.200,entered_tolerance,0,0,start,2.9955,-0.0909,0.000
16.300,hold_started,0,0,start,2.9275,-0.0839,0.001
18.400,exited_tolerance,1,1,transit,24.0614,-0.0118,0.000
18.400,waypoint_reached,0,1,transit,24.0614,-0.0118,0.000
28.000,waypoint_reached,1,2,transit,27.7353,-0.0994,0.000
36.800,entered_tolerance,2,2,transit,2.9928,0.8914,0.000
36.900,exited_tolerance,3,3,transit,22.9888,-0.0729,0.000
36.900,waypoint_reached,2,3,transit,22.9888,-0.0729,0.000
45.600,entered_tolerance,3,3,transit,2.8579,0.8988,0.000
45.700,exited_tolerance,4,4,transit,21.6576,-0.0486,0.000
45.700,waypoint_reached,3,4,transit,21.6576,-0.0486,0.000
54.200,entered_tolerance,4,4,transit,2.9174,0.8913,0.000
54.300,exited_tolerance,5,5,transit,23.4362,-0.0801,0.000
54.300,waypoint_reached,4,5,transit,23.4362,-0.0801,0.000
62.300,waypoint_reached,5,6,transit,24.1943,-0.1181,0.000
71.200,waypoint_reached,6,7,transit,21.6430,-0.0523,0.000
79.800,entered_tolerance,7,7,transit,2.9955,0.8826,0.000
79.900,exited_tolerance,8,8,transit,22.3651,-0.0390,0.000
79.900,waypoint_reached,7,8,transit,22.3651,-0.0390,0.000
88.700,waypoint_reached,8,9,finish,13.2684,-0.2049,0.000
95.000,entered_tolerance,9,9,finish,2.9221,0.7384,0.002
95.000,hold_started,9,9,finish,2.9221,0.7384,0.002
98.100,route_completed,9,9,finish,0.0000,0.8769,0.000
