t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.100,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,0.0012,0.0019,1.0000,0.0048,0.0081,0.0094,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,0.0053,0.0085,1.0000,0.0182,0.0290,0.0342,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,0.0073,0.0115,1.0000,0.0221,0.0349,0.0413,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,0.0091,0.0145,1.0000,0.0205,0.0328,0.0387,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,0.0089,0.0144,1.0000,0.0154,0.0257,0.0300,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,0.0068,0.0121,1.0000,0.0023,0.0078,0.0081,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,0,0,0.0056,0.0106,1.0000,-0.0028,0.0007,0.0029,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.900,0,0,0,0.0041,0.0088,1.0000,-0.0072,-0.0060,0.0094,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.000,0,0,0,0.0036,0.0080,1.0000,-0.0064,-0.0066,0.0092,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.100,0,0,0,0.0031,0.0073,1.0000,-0.0058,-0.0068,0.0089,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.200,0,10,0,0.0028,0.0069,1.0000,-0.0061,-0.0071,0.0094,0,0,3.00,-4.0385,27.6464,27.9333,9.5399,2.0645,6.0140,1.7160,0.7160,2.5000,nan,nan,0.0000,0.0000
1.300,0,10,0,0.0020,0.0065,1.0000,-0.0065,-0.0061,0.0089,0,0,3.00,-4.0385,27.6464,27.9336,9.5404,2.0645,6.0144,1.7160,0.7160,2.5000,220.00,220.00,0.0000,0.0000
