t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
14.400,entered_tolerance,0,0,start,2.8957,-0.1594,0.001
14.400,hold_started,0,0,start,2.8957,-0.1594,0.001
16.500,exited_tolerance,1,1,transit,17.7921,-0.0888,0.000
16.500,waypoint_reached,0,1,transit,17.7921,-0.0888,0.000
23.400,waypoint_reached,1,2,transit,17.8864,-0.1729,0.000
29.300,entered_tolerance,2,2,transit,2.8799,0.8396,0.000
29.400,exited_tolerance,3,3,transit,16.7427,-0.1491,0.000
29.400,waypoint_reached,2,3,transit,16.7427,-0.1491,0.000
35.000,waypoint_reached,3,4,transit,20.8119,-0.1392,0.000
41.800,entered_tolerance,4,4,transit,2.9473,0.8411,0.000
41.900,exited_tolerance,5,5,transit,22.8852,-0.1375,0.000
41.900,waypoint_reached,4,5,transit,22.8852,-0.1375,0.000
49.000,entered_tolerance,5,5,transit,2.9508,0.8602,0.000
49.100,exited_tolerance,6,6,transit,22.1158,-0.1366,0.000
49.100,waypoint_reached,5,6,transit,22.1158,-0.1366,0.000
55.800,waypoint_reached,6,7,transit,23.1723,-0.1393,0.000
62.800,entered_tolerance,7,7,transit,2.9931,0.8529,0.000
62.900,exited_tolerance,8,8,transit,17.2043,-0.1843,0.000
62.900,waypoint_reached,7,8,transit,17.2043,-0.1843,0.000
68.200,waypoint_reached,8,9,finish,23.4429,-0.1360,0.000
81.300,entered_tolerance,9,9,finish,2.9952,0.8553,0.000
81.400,hold_started,9,9,finish,2.9370,0.8582,0.001
84.500,route_completed,9,9,finish,0.0000,0.9267,0.000
