t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.101,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,0.0013,0.0025,1.0000,0.0054,0.0098,0.0112,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,0.0034,0.0057,1.0000,0.0122,0.0204,0.0237,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,0.0075,0.0121,1.0000,0.0224,0.0358,0.0423,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,0.0087,0.0141,1.0000,0.0233,0.0371,0.0438,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,0.0093,0.0151,1.0000,0.0207,0.0334,0.0393,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,0,0,0.0081,0.0140,1.0000,0.0090,0.0171,0.0193,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.900,0,0,0,0.0058,0.0112,1.0000,-0.0027,0.0010,0.0029,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.000,0,0,0,0.0049,0.0101,1.0000,-0.0059,-0.0037,0.0070,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.100,0,10,0,0.0039,0.0089,1.0000,-0.0071,-0.0066,0.0096,0,0,3.00,-3.2014,26.8196,27.0016,-8.6693,1.3629,6.0145,1.6898,0.6898,2.5000,nan,nan,0.0000,0.0000
1.200,0,10,0,0.0036,0.0083,1.0000,-0.0059,-0.0065,0.0087,0,0,3.00,-3.2014,26.8196,27.0022,-8.6691,1.3629,6.0131,1.6898,0.6898,2.5000,136.76,220.00,0.0000,0.0000
1.300,0,10,0,0.0033,0.0079,1.0000,-0.0057,-0.0067,0.0088,0,0,3.00,-3.2014,26.8196,27.0022,-8.6691,1.3629,6.0131,1.6898,0.6898,2.5000,60.94,319.65,0.0000,0.0000
1.400,0,10,0,0.0026,0.0073,1.0000,-0.0061,-0.0064,0.0088,0,0,3.00,-3.2014,26.8196,27.0031,-8.6684,1.3629,6.0133,1.6897,0.6897,2.5000,-96.63,315.39,0.0000,0.0000
1.500,0,10,0,0.0067,0.0110,1.0019,0.0114,0.0097,0.0149,0,0,3.00,-3.2014,26.8196,26.9998,-8.6716,1.3629,6.0224,1.6899,0.6880,2.5000,-115.23,369.05,0.0000,0.0000
