t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
17.300,entered_tolerance,0,0,start,2.9252,-0.1564,0.000
17.400,hold_started,0,0,start,2.7660,-0.1472,0.001
19.500,exited_tolerance,1,1,transit,14.9006,-0.0522,0.000
19.500,waypoint_reached,0,1,transit,14.9006,-0.0522,0.000
26.000,entered_tolerance,1,1,transit,2.9450,0.7988,0.000
26.100,exited_tolerance,2,2,transit,16.7578,-0.0576,0.000
26.100,waypoint_reached,1,2,transit,16.7578,-0.0576,0.000
33.300,entered_tolerance,2,2,transit,2.9673,0.8169,0.000
33.400,exited_tolerance,3,3,transit,17.2087,-0.1429,0.000
33.400,waypoint_reached,2,3,transit,17.2087,-0.1429,0.000
41.400,waypoint_reached,3,4,transit,17.7958,-0.1851,0.000
48.000,entered_tolerance,4,4,transit,2.9392,0.8467,0.000
48.100,exited_tolerance,5,5,transit,20.6397,-0.1508,0.000
48.100,waypoint_reached,4,5,transit,20.6397,-0.1508,0.000
56.400,entered_tolerance,5,5,transit,2.9450,0.8715,0.000
56.500,exited_tolerance,6,6,transit,17.8721,-0.1592,0.000
56.500,waypoint_reached,5,6,transit,17.8721,-0.1592,0.000
63.700,entered_tolerance,6,6,transit,2.9259,0.8616,0.000
63.800,exited_tolerance,7,7,transit,19.5790,-0.1584,0.000
63.800,waypoint_reached,6,7,transit,19.5790,-0.1584,0.000
71.500,waypoint_reached,7,8,transit,18.0908,-0.1806,0.000
79.300,waypoint_reached,8,9,finish,20.3880,-0.1697,0.000
93.100,entered_tolerance,9,9,finish,2.9986,0.8686,0.000
93.200,hold_started,9,9,finish,2.9172,0.8757,0.001
96.300,route_completed,9,9,finish,0.0000,0.9726,0.000
