t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
16.400,entered_tolerance,0,0,start,2.9795,-0.0838,0.000
16.500,hold_started,0,0,start,2.9146,-0.0802,0.001
18.600,exited_tolerance,1,1,transit,23.9906,-0.0088,0.000
18.600,waypoint_reached,0,1,transit,23.9906,-0.0088,0.000
28.000,entered_tolerance,1,1,transit,2.9391,0.9022,0.000
28.100,exited_tolerance,2,2,transit,27.8167,-0.1026,0.000
28.100,waypoint_reached,1,2,transit,27.8167,-0.1026,0.000
36.700,entered_tolerance,2,2,transit,2.8615,0.8951,0.000
36.800,exited_tolerance,3,3,transit,23.0176,-0.0749,0.000
36.800,waypoint_reached,2,3,transit,23.0176,-0.0749,0.000
45.400,entered_tolerance,3,3,transit,2.9279,0.8844,0.000
45.500,exited_tolerance,4,4,transit,21.9665,-0.0567,0.000
45.500,waypoint_reached,3,4,transit,21.9665,-0.0567,0.000
54.100,waypoint_reached,4,5,transit,23.7295,-0.0933,0.000
62.600,entered_tolerance,5,5,transit,2.8965,0.8750,0.000
62.700,exited_tolerance,6,6,transit,23.5696,-0.0916,0.000
62.700,waypoint_reached,5,6,transit,23.5696,-0.0916,0.000
72.200,entered_tolerance,6,6,transit,2.9534,0.8670,0.000
72.300,exited_tolerance,7,7,transit,22.6702,-0.1088,0.000
72.300,waypoint_reached,6,7,transit,22.6702,-0.1088,0.000
90.700,entered_tolerance,7,7,transit,2.9750,0.8574,0.000
90.800,exited_tolerance,8,8,transit,23.5160,-0.1026,0.000
90.800,waypoint_reached,7,8,transit,23.5160,-0.1026,0.000
121.200,waypoint_reached,8,9,finish,9.5671,0.1772,0.000
133.400,entered_tolerance,9,9,finish,2.9700,0.8629,0.000
133.500,hold_started,9,9,finish,2.8930,0.8736,0.001
136.600,route_completed,9,9,finish,0.0000,1.0131,0.000
