t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.100,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,-0.0040,-0.0056,0.9991,-0.0117,-0.0168,0.0205,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,-0.0045,-0.0066,0.9991,-0.0114,-0.0172,0.0206,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,-0.0047,-0.0073,0.9990,-0.0099,-0.0165,0.0193,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,-0.0048,-0.0083,0.9990,-0.0068,-0.0143,0.0158,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,0,0,-0.0052,-0.0095,0.9989,-0.0059,-0.0134,0.0146,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.900,0,0,0,-0.0058,-0.0103,0.9988,-0.0058,-0.0116,0.0130,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.000,0,0,0,-0.0058,-0.0103,0.9987,-0.0047,-0.0091,0.0103,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.100,0,0,0,-0.0048,-0.0090,0.9986,0.0006,-0.0010,0.0012,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.200,0,10,0,-0.0031,-0.0071,0.9985,0.0066,0.0063,0.0091,0,0,3.00,-4.0455,27.6357,27.9376,9.5418,2.0645,6.0076,1.7160,0.7174,2.5000,110.00,110.00,0.0000,0.0000
1.300,0,10,0,-0.0021,-0.0064,0.9984,0.0078,0.0062,0.0100,0,0,3.00,-4.0455,27.6357,27.9363,9.5397,2.0645,6.0165,1.7160,0.7175,2.5000,305.11,239.50,0.0000,0.0000
