t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
16.600,entered_tolerance,0,0,start,2.9100,-0.1597,0.001
16.600,hold_started,0,0,start,2.9100,-0.1597,0.001
18.700,exited_tolerance,1,1,transit,17.8721,-0.0931,0.000
18.700,waypoint_reached,0,1,transit,17.8721,-0.0931,0.000
25.700,waypoint_reached,1,2,transit,17.8829,-0.1627,0.000
31.600,waypoint_reached,2,3,transit,17.1979,-0.1699,0.000
37.000,waypoint_reached,3,4,transit,21.0354,-0.1518,0.000
43.900,waypoint_reached,4,5,transit,22.8447,-0.1279,0.000
51.100,waypoint_reached,5,6,transit,22.2484,-0.1361,0.000
58.400,waypoint_reached,6,7,transit,23.3336,-0.1410,0.000
66.400,waypoint_reached,7,8,transit,17.4302,-0.1908,0.000
73.100,waypoint_reached,8,9,finish,23.4267,-0.1312,0.000
96.200,entered_tolerance,9,9,finish,2.9917,0.8744,0.001
96.200,hold_started,9,9,finish,2.9917,0.8744,0.001
99.300,route_completed,9,9,finish,0.0000,0.9270,0.000
