t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
16.300,entered_tolerance,0,0,start,2.9608,-0.1617,0.000
16.400,hold_started,0,0,start,2.8032,-0.1527,0.001
18.500,exited_tolerance,1,1,transit,15.0436,-0.0625,0.000
18.500,waypoint_reached,0,1,transit,15.0436,-0.0625,0.000
25.100,entered_tolerance,1,1,transit,2.9811,0.8000,0.000
25.200,exited_tolerance,2,2,transit,16.7465,-0.0555,0.000
25.200,waypoint_reached,1,2,transit,16.7465,-0.0555,0.000
32.200,entered_tolerance,2,2,transit,2.9103,0.8164,0.000
32.300,exited_tolerance,3,3,transit,16.9702,-0.1256,0.000
32.300,waypoint_reached,2,3,transit,16.9702,-0.1256,0.000
40.200,entered_tolerance,3,3,transit,2.8318,0.8814,0.000
40.300,exited_tolerance,4,4,transit,17.6641,-0.1769,0.000
40.300,waypoint_reached,3,4,transit,17.6641,-0.1769,0.000
47.300,entered_tolerance,4,4,transit,2.9377,0.8463,0.000
47.400,exited_tolerance,5,5,transit,20.6261,-0.1500,0.000
47.400,waypoint_reached,4,5,transit,20.6261,-0.1500,0.000
56.100,entered_tolerance,5,5,transit,2.8488,0.9262,0.000
56.200,exited_tolerance,6,6,transit,18.1630,-0.1799,0.000
56.200,waypoint_reached,5,6,transit,18.1630,-0.1799,0.000
65.000,entered_tolerance,6,6,transit,2.9419,0.8192,0.000
65.100,exited_tolerance,7,7,transit,19.0810,-0.1240,0.000
65.100,waypoint_reached,6,7,transit,19.0810,-0.1240,0.000
80.300,waypoint_reached,7,8,transit,18.2840,-0.1799,0.000
99.100,entered_tolerance,8,8,transit,2.9804,0.8388,0.000
99.200,exited_tolerance,9,9,finish,20.0660,-0.1502,0.000
99.200,waypoint_reached,8,9,finish,20.0660,-0.1502,0.000
130.000,entered_tolerance,9,9,finish,2.9377,0.8907,0.000
130.100,hold_started,9,9,finish,2.8588,0.8963,0.001
133.200,route_completed,9,9,finish,0.0000,0.9695,0.000
