t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.100,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,-0.0019,-0.0026,0.9992,-0.0088,-0.0120,0.0149,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,-0.0033,-0.0049,0.9991,-0.0104,-0.0158,0.0189,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,-0.0035,-0.0055,0.9990,-0.0091,-0.0154,0.0179,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,-0.0036,-0.0065,0.9990,-0.0063,-0.0136,0.0149,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,0,0,-0.0040,-0.0077,0.9989,-0.0056,-0.0129,0.0141,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.900,0,0,0,-0.0046,-0.0086,0.9988,-0.0056,-0.0113,0.0126,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.000,0,0,0,-0.0046,-0.0085,0.9987,-0.0045,-0.0089,0.0100,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.100,0,10,0,-0.0036,-0.0072,0.9986,0.0007,-0.0009,0.0011,0,0,3.00,-3.4505,27.9711,28.1898,-17.8910,1.0058,6.0017,1.6934,0.6948,2.5000,nan,nan,0.0000,0.0000
1.200,0,10,0,-0.0019,-0.0052,0.9985,0.0066,0.0070,0.0096,0,0,3.00,-3.4505,27.9711,28.1880,-17.8913,1.0058,6.0144,1.6934,0.6949,2.5000,168.41,220.00,0.0000,0.0000
1.300,0,10,0,-0.0007,-0.0034,0.9985,0.0101,0.0129,0.0164,0,0,3.00,-3.4505,27.9711,28.1864,-17.8913,1.0058,6.0246,1.6935,0.6950,2.5000,109.20,307.40,0.0000,0.0000
