t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
16.100,entered_tolerance,0,0,start,2.9110,-0.0806,0.002
16.100,hold_started,0,0,start,2.9110,-0.0806,0.002
18.200,waypoint_reached,0,1,transit,2.0447,-0.0093,0.000
18.300,exited_tolerance,1,1,transit,23.9826,-0.0084,0.000
27.700,entered_tolerance,2,2,transit,2.9720,-0.1097,0.000
27.700,waypoint_reached,1,2,transit,2.9720,-0.1097,0.000
27.800,exited_tolerance,2,2,transit,27.6664,-0.0969,0.000
36.300,entered_tolerance,3,3,transit,2.8294,-0.0898,0.000
36.300,waypoint_reached,2,3,transit,2.8294,-0.0898,0.000
36.400,exited_tolerance,3,3,transit,23.0713,-0.0782,0.000
45.000,entered_tolerance,4,4,transit,2.8373,-0.0626,0.000
45.000,waypoint_reached,3,4,transit,2.8373,-0.0626,0.000
45.100,exited_tolerance,4,4,transit,21.8091,-0.0493,0.000
53.500,entered_tolerance,5,5,transit,2.8585,-0.0860,0.000
53.500,waypoint_reached,4,5,transit,2.8585,-0.0860,0.000
53.600,exited_tolerance,5,5,transit,23.2527,-0.0706,0.000
61.500,entered_tolerance,6,6,transit,2.8771,-0.1259,0.000
61.500,waypoint_reached,5,6,transit,2.8771,-0.1259,0.000
61.600,exited_tolerance,6,6,transit,24.1275,-0.1155,0.000
69.900,entered_tolerance,7,7,transit,2.7239,-0.0526,0.000
69.900,waypoint_reached,6,7,transit,2.7239,-0.0526,0.000
70.000,exited_tolerance,7,7,transit,21.3745,-0.0417,0.000
78.700,entered_tolerance,8,8,transit,2.8651,-0.0448,0.000
78.700,waypoint_reached,7,8,transit,2.8651,-0.0448,0.000
78.800,exited_tolerance,8,8,transit,22.2120,-0.0334,0.000
87.600,entered_tolerance,9,9,finish,2.9461,-0.2253,0.000
87.600,waypoint_reached,8,9,finish,2.9461,-0.2253,0.000
87.700,exited_tolerance,9,9,finish,13.1736,-0.1947,0.000
94.200,entered_tolerance,9,9,finish,2.9251,0.7306,0.001
94.200,hold_started,9,9,finish,2.9251,0.7306,0.001
97.300,route_completed,9,9,finish,1.6468,0.8500,0.000
