t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.100,0,0,0,0.0000,0.0000,0.9984,0.0000,0.0000,0.0000,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,-0.0016,-0.0020,0.9984,-0.0065,-0.0084,0.0106,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,-0.0015,-0.0013,0.9982,-0.0032,-0.0018,0.0037,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,0.0016,0.0035,0.9979,0.0093,0.0161,0.0186,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,0.0031,0.0055,0.9977,0.0129,0.0208,0.0244,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,0.0038,0.0066,0.9976,0.0134,0.0211,0.0250,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,0.0030,0.0056,0.9973,0.0052,0.0092,0.0106,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,0,0,-0.0001,0.0015,0.9971,-0.0079,-0.0090,0.0120,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.900,0,0,0,-0.0030,-0.0026,0.9968,-0.0155,-0.0203,0.0256,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.000,0,0,0,-0.0040,-0.0041,0.9965,-0.0161,-0.0222,0.0275,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.100,0,10,0,-0.0051,-0.0064,0.9963,-0.0141,-0.0224,0.0265,0,0,3.00,-4.0324,27.6545,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.200,0,10,0,-0.0060,-0.0086,0.9960,-0.0123,-0.0223,0.0255,0,0,3.00,-4.0324,27.6545,27.9535,9.5632,2.0645,6.0386,1.7154,0.7192,2.5000,110.00,110.00,0.0000,0.0000
1.300,0,10,0,-0.0061,-0.0085,0.9957,-0.0083,-0.0134,0.0157,0,0,3.00,-4.0324,27.6545,27.9553,9.5651,2.0645,6.0365,1.7153,0.7195,2.5000,305.11,239.50,0.0000,0.0000
1.400,0,10,0,-0.0040,-0.0049,0.9952,0.0025,0.0045,0.0051,0,0,3.00,-4.0324,27.6545,27.9544,9.5643,2.0645,6.0236,1.7153,0.7199,2.5000,428.96,326.18,0.0000,0.0000
1.500,0,10,0,0.0086,0.0149,0.9941,0.0485,0.0765,0.0906,0,0,3.00,-4.0324,27.6545,27.9441,9.5526,2.0645,6.0596,1.7156,0.7208,2.5000,506.14,361.92,0.0000,0.0000
1.600,0,10,0,0.0347,0.0558,0.9924,0.1270,0.1998,0.2367,0,0,3.00,-4.0324,27.6545,27.9171,9.5214,2.0645,6.2336,1.7165,0.7231,2.5000,597.07,289.72,0.0000,0.0000
1.700,0,10,0,0.0741,0.1203,0.9882,0.2251,0.3634,0.4274,0,0,3.00,-4.0324,27.6545,27.8695,9.4670,2.0645,6.4896,1.7179,0.7273,2.5000,629.52,446.84,0.0000,0.0000
1.800,0,10,0,0.1268,0.2087,0.9823,0.3361,0.5548,0.6486,0,0,3.00,-4.0324,27.6545,27.8003,9.3900,2.0645,6.7994,1.7200,0.7342,2.5000,625.14,534.21,0.0000,0.0000
1.900,0,10,0,0.1943,0.3203,0.9753,0.4605,0.7605,0.8891,0,0,3.00,-4.0324,27.6545,27.7101,9.2895,2.0645,7.1456,1.7227,0.7442,2.5000,802.54,553.86,0.0000,0.0000
2.000,0,10,0,0.2354,0.3875,0.9692,0.5266,0.8667,1.0142,0,0,3.00,-4.0324,27.6545,27.5990,9.1639,2.0645,7.5212,1.7261,0.7550,2.5000,898.50,665.99,0.0000,0.0000
2.100,0,10,0,0.2354,0.3875,0.9692,0.5266,0.8667,1.0142,0,0,3.00,-4.0324,27.6545,27.5990,9.1639,2.0645,7.5212,1.7261,0.7568,2.5000,880.37,678.58,0.0000,0.0000
2.200,0,10,0,0.2354,0.3875,0.9692,0.5266,0.8667,1.0142,0,0,3.00,-4.0324,27.6545,27.5990,9.1639,2.0645,7.5212,1.7261,0.7568,2.5000,960.50,807.59,0.0000,0.0000
2.300,0,10,0,0.2354,0.3875,0.9692,0.5266,0.8667,1.0142,0,0,3.00,-4.0324,27.6545,27.5990,9.1639,2.0645,7.5212,1.7261,0.7568,2.5000,790.97,849.71,0.0000,0.0000
2.400,0,10,0,0.4380,0.7140,0.9475,0.8259,1.3376,1.5720,0,0,3.00,-4.0324,27.6545,27.4649,9.0109,2.0645,7.9305,1.7302,0.7692,2.5000,903.17,865.57,0.0000,0.0000
2.500,0,10,0,0.6989,1.1246,0.9206,1.1169,1.7706,2.0935,0,0,3.00,-4.0324,27.6545,27.1348,8.6277,2.0645,8.7707,1.7409,0.8074,2.5000,927.25,823.87,0.0000,0.0000
2.600,0,10,0,0.9199,1.4617,0.8977,1.3043,2.0223,2.4064,0,0,3.00,-4.0324,27.6545,26.7537,8.1710,2.0645,9.4584,1.7541,0.8471,2.5000,998.97,834.62,0.0000,0.0000
2.700,0,10,0,1.0799,1.7007,0.8858,1.4128,2.1572,2.5786,0,0,3.00,-4.0324,27.6545,26.5524,7.9228,2.0645,9.7330,1.7615,0.8704,2.5000,996.91,991.14,0.0000,0.0000
2.800,0,10,0,1.2490,1.9489,0.8728,1.5153,2.2766,2.7348,0,0,3.00,-4.0324,27.6545,26.3451,7.6623,2.0645,9.9774,1.7694,0.8902,2.5000,978.00,999.96,0.0000,0.0000
2.900,0,10,0,1.4264,2.2044,0.8620,1.6102,2.3793,2.8729,0,0,3.00,-4.0324,27.6545,26.1329,7.3898,2.0645,10.1993,1.7778,0.9111,2.5000,992.35,999.49,0.0000,0.0000
3.000,0,10,0,1.6098,2.4646,0.8512,1.6927,2.4614,2.9873,0,0,3.00,-4.0324,27.6545,25.9183,7.1083,2.0645,10.3887,1.7867,0.9302,2.5000,932.41,997.80,0.0000,0.0000
3.100,0,10,0,1.7978,2.7265,0.8417,1.7618,2.5195,3.0744,0,0,3.00,-4.0324,27.6545,25.7038,6.8205,2.0645,10.5409,1.7960,0.9497,2.5000,847.18,984.16,0.0000,0.0000
3.200,0,10,0,1.9888,2.9868,0.8344,1.8166,2.5508,3.1315,0,0,3.00,-4.0324,27.6545,25.4926,6.5297,2.0645,10.6481,1.8055,0.9677,2.5000,790.36,997.48,0.0000,0.0000
3.300,0,10,0,2.0881,3.1199,0.8302,1.8349,2.5524,3.1435,0,0,3.00,-4.0324,27.6545,25.3919,6.3881,2.0645,10.6973,1.8102,0.9779,2.5000,864.70,995.78,0.0000,0.0000
3.400,0,10,0,2.2824,3.3770,0.8280,1.8736,2.5586,3.1712,0,0,3.00,-4.0324,27.6545,25.1883,6.0956,2.0645,10.7495,1.8201,0.9911,2.5000,775.45,996.19,0.0000,0.0000
3.500,0,10,0,2.4781,3.6321,0.8275,1.9029,2.5548,3.1856,0,0,3.00,-4.0324,27.6545,24.9892,5.8022,2.0645,10.7826,1.8302,1.0026,2.5000,631.22,997.10,0.0000,0.0000
3.600,0,10,0,2.5728,3.7538,0.8287,1.9170,2.5510,3.1910,0,0,3.00,-4.0324,27.6545,24.7966,5.5104,2.0645,10.7865,1.8404,1.0125,2.5000,621.29,997.61,0.0000,0.0000
3.700,0,10,0,2.7673,3.9995,0.8325,1.9280,2.5177,3.1712,0,0,3.00,-4.0324,27.6545,24.7009,5.3618,2.0645,10.7638,1.8457,1.0149,2.5000,651.15,996.56,0.0000,0.0000
3.800,0,10,0,2.9616,4.2395,0.8399,1.9346,2.4759,3.1421,0,0,3.00,-4.0324,27.6545,24.5215,5.0758,2.0645,10.7245,1.8560,1.0198,2.5000,653.22,993.37,0.0000,0.0000
3.900,0,10,0,3.0618,4.3614,0.8488,1.9332,2.4497,3.1206,0,0,3.00,-4.0324,27.6545,24.4372,4.9379,2.0645,10.7132,1.8611,1.0181,2.5000,615.86,995.48,0.0000,0.0000
4.000,0,10,0,3.2569,4.5954,0.8598,1.9392,2.4094,3.0929,0,0,3.00,-4.0324,27.6545,24.2682,4.6545,2.0645,10.6706,1.8715,1.0188,2.5000,556.40,993.75,0.0000,0.0000
