t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.100,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,0.0000,0.0000,0.9982,0.0000,0.0000,0.0000,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,0.0007,0.0013,0.9981,0.0030,0.0053,0.0061,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,0.0039,0.0060,0.9979,0.0134,0.0207,0.0246,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,0.0060,0.0092,0.9977,0.0160,0.0240,0.0289,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,0.0060,0.0092,0.9975,0.0127,0.0192,0.0230,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,0.0052,0.0081,0.9973,0.0069,0.0111,0.0131,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,0,0,0.0021,0.0041,0.9970,-0.0069,-0.0077,0.0104,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.900,0,0,0,-0.0008,-0.0000,0.9968,-0.0149,-0.0195,0.0245,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.000,0,0,0,-0.0024,-0.0028,0.9965,-0.0150,-0.0222,0.0268,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.101,0,10,0,-0.0028,-0.0039,0.9962,-0.0137,-0.0220,0.0260,0,0,3.00,-3.1932,26.8297,27.0226,-8.6594,1.3629,6.0389,1.6891,0.6928,2.5000,nan,nan,0.0000,0.0000
1.200,0,10,0,-0.0038,-0.0061,0.9959,-0.0121,-0.0220,0.0251,0,0,3.00,-3.1932,26.8297,27.0235,-8.6592,1.3629,6.0380,1.6891,0.6930,2.5000,136.76,220.00,0.0000,0.0000
1.300,0,10,0,-0.0050,-0.0083,0.9956,-0.0121,-0.0220,0.0251,0,0,3.00,-3.1932,26.8297,27.0257,-8.6586,1.3629,6.0380,1.6891,0.6933,2.5000,60.94,319.65,0.0000,0.0000
