t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
18.200,entered_tolerance,0,0,start,2.9622,-0.0831,0.000
18.300,hold_started,0,0,start,2.8286,-0.0760,0.001
20.400,exited_tolerance,1,1,transit,23.8697,-0.0047,0.000
20.400,waypoint_reached,0,1,transit,23.8697,-0.0047,0.000
30.200,waypoint_reached,1,2,transit,27.7269,-0.1054,0.000
39.000,entered_tolerance,2,2,transit,2.8940,0.8846,0.000
39.100,exited_tolerance,3,3,transit,23.4069,-0.1007,0.000
39.100,waypoint_reached,2,3,transit,23.4069,-0.1007,0.000
47.700,waypoint_reached,3,4,transit,22.0281,-0.0653,0.000
56.500,waypoint_reached,4,5,transit,23.7112,-0.0997,0.000
66.400,entered_tolerance,5,5,transit,2.9780,0.8616,0.000
66.500,exited_tolerance,6,6,transit,24.2172,-0.1235,0.000
66.500,waypoint_reached,5,6,transit,24.2172,-0.1235,0.000
80.600,waypoint_reached,6,7,transit,22.6420,-0.1108,0.000
101.100,waypoint_reached,7,8,transit,22.4812,-0.0510,0.000
137.600,waypoint_reached,8,9,finish,10.2371,0.1688,0.000
159.400,entered_tolerance,9,9,finish,2.9394,1.1731,0.001
159.400,hold_started,9,9,finish,2.9394,1.1731,0.001
162.500,route_completed,9,9,finish,0.0000,1.0123,0.000
