t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
17.200,entered_tolerance,0,0,start,2.8706,-0.1604,0.000
17.300,hold_started,0,0,start,2.7971,-0.1563,0.001
19.400,exited_tolerance,1,1,transit,15.1725,-0.0721,0.000
19.400,waypoint_reached,0,1,transit,15.1725,-0.0721,0.000
26.000,entered_tolerance,1,1,transit,2.9383,0.8052,0.000
26.100,exited_tolerance,2,2,transit,16.5258,-0.0418,0.000
26.100,waypoint_reached,1,2,transit,16.5258,-0.0418,0.000
33.800,entered_tolerance,2,2,transit,2.8743,0.8460,0.000
33.900,exited_tolerance,3,3,transit,17.5462,-0.1699,0.000
33.900,waypoint_reached,2,3,transit,17.5462,-0.1699,0.000
41.300,entered_tolerance,3,3,transit,2.9811,0.8592,0.000
41.400,exited_tolerance,4,4,transit,17.8393,-0.1879,0.000
41.400,waypoint_reached,3,4,transit,17.8393,-0.1879,0.000
48.200,entered_tolerance,4,4,transit,2.9647,0.8378,0.000
48.300,exited_tolerance,5,5,transit,20.5461,-0.1454,0.000
48.300,waypoint_reached,4,5,transit,20.5461,-0.1454,0.000
57.400,entered_tolerance,5,5,transit,2.8781,0.9188,0.000
57.500,exited_tolerance,6,6,transit,18.1474,-0.1789,0.000
57.500,waypoint_reached,5,6,transit,18.1474,-0.1789,0.000
66.200,entered_tolerance,6,6,transit,2.9546,0.8446,0.000
66.300,exited_tolerance,7,7,transit,19.4778,-0.1511,0.000
66.300,waypoint_reached,6,7,transit,19.4778,-0.1511,0.000
78.400,entered_tolerance,7,7,transit,2.9840,0.9768,0.000
78.500,exited_tolerance,8,8,transit,17.9654,-0.1704,0.000
78.500,waypoint_reached,7,8,transit,17.9654,-0.1704,0.000
91.300,entered_tolerance,8,8,transit,2.9873,1.0210,0.000
91.400,exited_tolerance,9,9,finish,19.6154,-0.1196,0.000
91.400,waypoint_reached,8,9,finish,19.6154,-0.1196,0.000
118.400,entered_tolerance,9,9,finish,2.9878,0.8613,0.000
118.500,hold_started,9,9,finish,2.9605,0.8640,0.001
121.600,route_completed,9,9,finish,0.0000,0.8934,0.000
