t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
17.300,entered_tolerance,0,0,start,2.8765,-0.0839,0.001
17.300,hold_started,0,0,start,2.8765,-0.0839,0.001
19.400,exited_tolerance,1,1,transit,24.1019,-0.0136,0.000
19.400,waypoint_reached,0,1,transit,24.1019,-0.0136,0.000
29.100,entered_tolerance,1,1,transit,2.9245,0.9124,0.000
29.200,exited_tolerance,2,2,transit,27.5595,-0.0924,0.000
29.200,waypoint_reached,1,2,transit,27.5595,-0.0924,0.000
38.000,entered_tolerance,2,2,transit,2.9159,0.8906,0.000
38.100,exited_tolerance,3,3,transit,23.2362,-0.0867,0.000
38.100,waypoint_reached,2,3,transit,23.2362,-0.0867,0.000
46.800,waypoint_reached,3,4,transit,21.8765,-0.0581,0.000
55.400,waypoint_reached,4,5,transit,23.8653,-0.1018,0.000
64.900,waypoint_reached,5,6,transit,23.8575,-0.1021,0.000
77.900,entered_tolerance,6,6,transit,2.9810,0.8625,0.000
78.000,exited_tolerance,7,7,transit,22.6086,-0.1076,0.000
78.000,waypoint_reached,6,7,transit,22.6086,-0.1076,0.000
106.000,entered_tolerance,7,7,transit,2.9973,1.0100,0.000
106.100,exited_tolerance,8,8,transit,19.7033,0.0797,0.000
106.100,waypoint_reached,7,8,transit,19.7033,0.0797,0.000
126.100,waypoint_reached,8,9,finish,10.8297,0.0837,0.000
145.700,entered_tolerance,9,9,finish,2.9250,0.8495,0.001
145.700,hold_started,9,9,finish,2.9250,0.8495,0.001
148.800,route_completed,9,9,finish,0.0000,0.9205,0.000
