t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
14.900,entered_tolerance,0,0,start,2.9037,-0.1625,0.001
14.900,hold_started,0,0,start,2.9037,-0.1625,0.001
17.000,exited_tolerance,1,1,transit,18.0376,-0.1042,0.000
17.000,waypoint_reached,0,1,transit,18.0376,-0.1042,0.000
24.100,waypoint_reached,1,2,transit,17.6676,-0.1573,0.000
30.100,entered_tolerance,2,2,transit,2.9457,0.8280,0.000
30.200,exited_tolerance,3,3,transit,16.9305,-0.1634,0.000
30.200,waypoint_reached,2,3,transit,16.9305,-0.1634,0.000
36.000,entered_tolerance,3,3,transit,2.8931,0.8007,0.000
36.100,exited_tolerance,4,4,transit,20.9169,-0.1463,0.000
36.100,waypoint_reached,3,4,transit,20.9169,-0.1463,0.000
43.000,waypoint_reached,4,5,transit,22.6864,-0.1268,0.000
50.100,entered_tolerance,5,5,transit,2.9968,0.8544,0.000
50.200,exited_tolerance,6,6,transit,22.0750,-0.1350,0.000
50.200,waypoint_reached,5,6,transit,22.0750,-0.1350,0.000
57.000,entered_tolerance,6,6,transit,2.9427,0.8487,0.000
57.100,exited_tolerance,7,7,transit,22.9665,-0.1294,0.000
57.100,waypoint_reached,6,7,transit,22.9665,-0.1294,0.000
64.100,entered_tolerance,7,7,transit,2.9038,0.8575,0.000
64.200,exited_tolerance,8,8,transit,17.1021,-0.1771,0.000
64.200,waypoint_reached,7,8,transit,17.1021,-0.1771,0.000
69.400,waypoint_reached,8,9,finish,23.4471,-0.1361,0.000
82.500,entered_tolerance,9,9,finish,2.9312,0.8607,0.001
82.500,hold_started,9,9,finish,2.9312,0.8607,0.001
85.600,route_completed,9,9,finish,0.0000,0.9172,0.000
