t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.100,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,0.0021,-0.0004,1.0070,0.0086,-0.0017,0.0087,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,0.0039,-0.0020,1.0076,0.0141,-0.0077,0.0160,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,0.0057,-0.0085,1.0083,0.0153,-0.0285,0.0323,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,0.0061,-0.0126,1.0089,0.0137,-0.0397,0.0420,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,0.0064,-0.0170,1.0095,0.0124,-0.0486,0.0501,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,0,0,0.0070,-0.0208,1.0097,0.0124,-0.0550,0.0564,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.900,0,0,0,0.0070,-0.0208,1.0097,0.0124,-0.0550,0.0564,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.000,0,0,0,0.0070,-0.0208,1.0097,0.0124,-0.0550,0.0564,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.100,0,0,0,0.0080,-0.0246,1.0100,0.0136,-0.0584,0.0600,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.200,0,10,0,0.0136,-0.0387,1.0114,0.0222,-0.0658,0.0694,0,0,3.00,-3.2286,26.8462,27.0796,-8.7207,1.3629,6.1041,1.6908,0.6794,2.5000,nan,nan,0.0000,0.0000
1.300,0,10,0,0.0136,-0.0387,1.0114,0.0222,-0.0658,0.0694,0,0,3.00,-3.2286,26.8462,27.0796,-8.7207,1.3629,6.1041,1.6908,0.6794,2.5000,110.00,110.00,0.0000,0.0000
