t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
16.200,entered_tolerance,0,0,start,2.9591,-0.1661,0.001
16.200,hold_started,0,0,start,2.9591,-0.1661,0.001
18.300,exited_tolerance,1,1,transit,15.3374,-0.0832,0.000
18.300,waypoint_reached,0,1,transit,15.3374,-0.0832,0.000
24.900,waypoint_reached,1,2,transit,16.7963,-0.0509,0.000
33.000,waypoint_reached,2,3,transit,17.8801,-0.1896,0.000
40.200,waypoint_reached,3,4,transit,17.8727,-0.1843,0.000
47.200,waypoint_reached,4,5,transit,20.7649,-0.1547,0.000
55.100,waypoint_reached,5,6,transit,18.0654,-0.1646,0.000
62.200,waypoint_reached,6,7,transit,19.7446,-0.1650,0.000
70.000,waypoint_reached,7,8,transit,18.0162,-0.1690,0.000
77.300,waypoint_reached,8,9,finish,20.3949,-0.1703,0.000
90.500,entered_tolerance,9,9,finish,2.8980,0.8954,0.001
90.500,hold_started,9,9,finish,2.8980,0.8954,0.001
93.600,route_completed,9,9,finish,0.0000,0.9707,0.000
