t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.100,0,0,0,0.0009,-0.0024,1.0081,0.0036,-0.0102,0.0108,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,0.0018,-0.0103,1.0087,0.0055,-0.0350,0.0354,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,0.0028,-0.0185,1.0096,0.0071,-0.0520,0.0525,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,0.0037,-0.0223,1.0104,0.0094,-0.0560,0.0568,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,0.0063,-0.0290,1.0113,0.0155,-0.0602,0.0622,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,0.0078,-0.0324,1.0120,0.0184,-0.0624,0.0650,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,0.0107,-0.0402,1.0127,0.0222,-0.0679,0.0714,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,0,0,0.0121,-0.0443,1.0137,0.0234,-0.0704,0.0742,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.900,0,0,0,0.0153,-0.0520,1.0146,0.0263,-0.0726,0.0772,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.000,0,10,0,0.0193,-0.0585,1.0156,0.0314,-0.0698,0.0765,0,0,3.00,-3.4761,28.0095,28.2813,-17.9764,1.0058,6.1160,1.6946,0.6795,2.5000,nan,nan,0.0000,0.0000
1.100,0,10,0,0.0239,-0.0648,1.0165,0.0365,-0.0674,0.0766,0,0,3.00,-3.4761,28.0095,28.2880,-17.9834,1.0058,6.1144,1.6948,0.6787,2.5000,168.43,220.00,0.0000,0.0000
1.200,0,10,0,0.0290,-0.0703,1.0177,0.0420,-0.0625,0.0753,0,0,3.00,-3.4761,28.0095,28.2949,-17.9906,1.0058,6.1154,1.6949,0.6778,2.5000,109.25,307.37,0.0000,0.0000
1.300,0,10,0,0.0331,-0.0711,1.0189,0.0506,-0.0535,0.0736,0,0,3.00,-3.4761,28.0095,28.2990,-17.9983,1.0058,6.1104,1.6951,0.6767,2.5000,29.43,469.40,0.0000,0.0000
1.400,0,10,0,0.0469,-0.0672,1.0217,0.0833,-0.0187,0.0854,0,0,3.00,-3.4761,28.0095,28.2988,-18.0029,1.0058,6.1124,1.6953,0.6751,2.5000,-8.52,553.89,0.0000,0.0000
1.500,0,10,0,0.0713,-0.0520,1.0284,0.1428,0.0443,0.1496,0,0,3.00,-3.4761,28.0095,28.2920,-18.0139,1.0058,6.1642,1.6960,0.6716,2.5000,74.47,738.04,0.0000,0.0000
1.600,0,10,0,0.1090,-0.0210,1.0396,0.2294,0.1428,0.2702,0,0,3.00,-3.4761,28.0095,28.2735,-18.0279,1.0058,6.3032,1.6972,0.6632,2.5000,-59.87,763.37,0.0000,0.0000
1.700,0,10,0,0.1631,0.0298,1.0586,0.3444,0.2772,0.4421,0,0,3.00,-3.4761,28.0095,28.2384,-18.0446,1.0058,6.5248,1.6990,0.6509,2.5000,55.17,792.73,0.0000,0.0000
1.800,0,10,0,0.2325,0.0983,1.0824,0.4722,0.4267,0.6364,0,0,3.00,-3.4761,28.0095,28.1868,-18.0651,1.0058,6.8036,1.7015,0.6304,2.5000,57.61,786.05,0.0000,0.0000
1.900,0,10,0,0.3143,0.1828,1.1154,0.5988,0.5795,0.8333,0,0,3.00,-3.4761,28.0095,28.1205,-18.0881,1.0058,7.0997,1.7045,0.6064,2.5000,153.47,776.99,0.0000,0.0000
2.000,0,10,0,0.4057,0.2816,1.1535,0.7138,0.7292,1.0204,0,0,3.00,-3.4761,28.0095,28.0836,-18.0999,1.0058,7.2500,1.7062,0.5761,2.5000,101.43,993.70,0.0000,0.0000
2.100,0,10,0,0.4560,0.3389,1.1867,0.7645,0.8037,1.1092,0,0,3.00,-3.4761,28.0095,27.9983,-18.1242,1.0058,7.5305,1.7099,0.5401,2.5000,193.88,1000.00,0.0000,0.0000
2.200,0,10,0,0.5605,0.4639,1.2323,0.8656,0.9652,1.2965,0,0,3.00,-3.4761,28.0095,27.8978,-18.1466,1.0058,7.8092,1.7140,0.5050,2.5000,287.60,995.07,0.0000,0.0000
2.300,0,10,0,0.6727,0.6081,1.2819,0.9584,1.1380,1.4878,0,0,3.00,-3.4761,28.0095,27.7809,-18.1665,1.0058,8.0934,1.7186,0.4618,2.5000,362.23,1000.00,0.0000,0.0000
2.400,0,10,0,0.7295,0.6855,1.3129,1.0034,1.2326,1.5894,0,0,3.00,-3.4761,28.0095,27.6457,-18.1815,1.0058,8.3841,1.7235,0.4261,2.5000,260.85,1000.00,0.0000,0.0000
2.500,0,10,0,0.8504,0.8600,1.3606,1.0785,1.4207,1.7837,0,0,3.00,-3.4761,28.0095,27.5687,-18.1867,1.0058,8.5240,1.7262,0.3923,2.5000,304.75,969.24,0.0000,0.0000
