env_name,route_name_clean,completed,total_time_sec,distance_travelled_m,straight_line_dist_m,path_efficiency,mean_speed_mps,max_speed_mps,mean_abs_cte_m,rms_cte_m,max_abs_cte_m,waypoints_completed,mean_u_ref,mean_left_thrust,mean_right_thrust,summary_file
env_01_calm,route_straight,1,84.5,194.228,183.77,0.9462,2.586,3.4831,1.2594,2.4027,9.5397,9,2.663,655.973,660.4682,/home/misael/Desktop/output_los_mppi/env_01_calm/summary/route_straight.yaml_20260414_154142_summary.csv
env_02_low,route_straight,1,99.3,194.816,183.719,0.943,2.2011,3.4842,1.301,2.3066,9.6186,9,2.5221,536.9072,539.1741,/home/misael/Desktop/output_los_mppi/env_02_low/summary/route_straight.yaml_20260414_155005_summary.csv
env_03_medium,route_straight,1,89.6,194.187,183.263,0.9437,2.4531,3.4729,1.2621,2.3554,9.5504,9,2.6332,612.1838,624.1869,/home/misael/Desktop/output_los_mppi/env_03_medium/summary/route_straight.yaml_20260414_160705_summary.csv
env_04_high,route_straight,1,167.2,219.455,184.159,0.8392,1.4838,3.4832,1.6032,2.2972,9.6601,9,2.8257,419.5783,401.9191,/home/misael/Desktop/output_los_mppi/env_04_high/summary/route_straight.yaml_20260414_161315_summary.csv
env_05_severe,route_straight,1,85.6,195.306,183.57,0.9399,2.572,3.4796,1.3134,2.4347,9.694,9,2.6616,669.0125,658.614,/home/misael/Desktop/output_los_mppi/env_05_severe/summary/route_straight.yaml_20260414_162217_summary.csv
env_01_calm,route_curves,1,98.1,232.611,181.302,0.7794,2.7238,3.4622,1.4868,2.0339,9.5404,9,3.2375,685.4398,694.992,/home/misael/Desktop/output_los_mppi/env_01_calm/summary/route_curves.yaml_20260414_154321_summary.csv
env_02_low,route_curves,1,136.6,241.642,181.003,0.7491,1.9993,3.4401,1.7711,2.2579,9.5424,9,3.2722,501.4484,518.1271,/home/misael/Desktop/output_los_mppi/env_02_low/summary/route_curves.yaml_20260414_155202_summary.csv
env_03_medium,route_curves,1,97.3,233.213,180.716,0.7749,2.6981,3.4483,1.4616,2.0224,9.5651,9,3.2216,680.9685,696.5194,/home/misael/Desktop/output_los_mppi/env_03_medium/summary/route_curves.yaml_20260414_160852_summary.csv
env_04_high,route_curves,1,162.5,275.739,183.248,0.6646,1.9193,3.4098,1.8359,2.3679,9.6232,9,3.2196,489.7559,495.0937,/home/misael/Desktop/output_los_mppi/env_04_high/summary/route_curves.yaml_20260414_161619_summary.csv
env_05_severe,route_curves,1,148.8,258.626,180.492,0.6979,1.9787,3.4432,1.8433,2.3934,9.5566,9,3.1937,509.5624,509.551,/home/misael/Desktop/output_los_mppi/env_05_severe/summary/route_curves.yaml_20260414_162359_summary.csv
env_01_calm,route_zigzag,1,96.3,211.872,150.199,0.7089,2.4944,3.4896,2.6802,4.585,18.027,9,2.4625,575.0443,569.6018,/home/misael/Desktop/output_los_mppi/env_01_calm/summary/route_zigzag.yaml_20260414_154514_summary.csv
env_02_low,route_zigzag,1,133.2,215.472,151.951,0.7052,1.834,3.4863,2.3557,4.0019,18.0351,9,2.4298,430.3181,441.8115,/home/misael/Desktop/output_los_mppi/env_02_low/summary/route_zigzag.yaml_20260414_155437_summary.csv
env_03_medium,route_zigzag,1,101.8,214.341,151.529,0.707,2.3801,3.488,2.7045,4.5115,18.0553,9,2.4453,544.9378,549.2462,/home/misael/Desktop/output_los_mppi/env_03_medium/summary/route_zigzag.yaml_20260414_161052_summary.csv
env_04_high,route_zigzag,1,121.6,214.629,149.107,0.6947,2.0126,3.4869,2.4566,4.1926,18.1423,9,2.3929,476.5352,467.3589,/home/misael/Desktop/output_los_mppi/env_04_high/summary/route_zigzag.yaml_20260414_161919_summary.csv
env_05_severe,route_zigzag,1,93.6,212.357,150.057,0.7066,2.5535,3.4909,2.7097,4.6437,18.1921,9,2.503,607.018,585.8414,/home/misael/Desktop/output_los_mppi/env_05_severe/summary/route_zigzag.yaml_20260414_162646_summary.csv
