t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
16.900,entered_tolerance,0,0,start,2.9164,-0.1570,0.001
16.900,hold_started,0,0,start,2.9164,-0.1570,0.001
19.000,exited_tolerance,1,1,transit,17.6376,-0.0793,0.000
19.000,waypoint_reached,0,1,transit,17.6376,-0.0793,0.000
25.900,entered_tolerance,1,1,transit,2.9273,0.8374,0.000
26.000,exited_tolerance,2,2,transit,17.7638,-0.1650,0.000
26.000,waypoint_reached,1,2,transit,17.7638,-0.1650,0.000
32.000,entered_tolerance,2,2,transit,2.9104,0.8377,0.000
32.100,exited_tolerance,3,3,transit,16.7643,-0.1505,0.000
32.100,waypoint_reached,2,3,transit,16.7643,-0.1505,0.000
37.500,entered_tolerance,3,3,transit,2.9444,0.8124,0.000
37.600,exited_tolerance,4,4,transit,20.7019,-0.1330,0.000
37.600,waypoint_reached,3,4,transit,20.7019,-0.1330,0.000
44.500,waypoint_reached,4,5,transit,22.8335,-0.1349,0.000
51.700,entered_tolerance,5,5,transit,2.8949,0.8628,0.000
51.800,exited_tolerance,6,6,transit,22.0504,-0.1332,0.000
51.800,waypoint_reached,5,6,transit,22.0504,-0.1332,0.000
58.600,entered_tolerance,6,6,transit,2.9152,0.8529,0.000
58.700,exited_tolerance,7,7,transit,23.0432,-0.1329,0.000
58.700,waypoint_reached,6,7,transit,23.0432,-0.1329,0.000
66.000,waypoint_reached,7,8,transit,17.4149,-0.1988,0.000
71.300,entered_tolerance,8,8,transit,2.8898,0.8011,0.000
71.400,exited_tolerance,9,9,finish,23.3969,-0.1338,0.000
71.400,waypoint_reached,8,9,finish,23.3969,-0.1338,0.000
84.700,entered_tolerance,9,9,finish,2.8884,0.8600,0.001
84.700,hold_started,9,9,finish,2.8884,0.8600,0.001
87.800,route_completed,9,9,finish,0.0000,0.9325,0.000
