t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
16.900,entered_tolerance,0,0,start,2.8641,-0.1543,0.100
16.900,hold_started,0,0,start,2.8641,-0.1543,0.100
18.900,waypoint_reached,0,1,transit,1.3736,-0.0679,0.000
19.000,exited_tolerance,1,1,transit,15.0958,-0.0665,0.000
25.200,waypoint_reached,1,2,transit,3.0167,-0.0578,0.000
32.000,waypoint_reached,2,3,transit,3.0191,-0.1342,0.000
40.100,entered_tolerance,4,4,transit,2.8777,-0.1875,0.000
40.100,waypoint_reached,3,4,transit,2.8777,-0.1875,0.000
40.200,exited_tolerance,4,4,transit,17.6225,-0.1739,0.000
46.500,waypoint_reached,4,5,transit,3.0630,-0.1541,0.000
54.800,waypoint_reached,5,6,transit,3.0414,-0.1901,0.000
62.800,entered_tolerance,7,7,transit,2.9672,-0.1712,0.000
62.800,waypoint_reached,6,7,transit,2.9672,-0.1712,0.000
62.900,exited_tolerance,7,7,transit,19.7141,-0.1632,0.000
72.100,waypoint_reached,7,8,transit,3.0020,-0.1873,0.000
83.400,waypoint_reached,8,9,finish,3.0578,-0.1692,0.000
103.100,entered_tolerance,9,9,finish,2.9831,0.8649,0.001
103.100,hold_started,9,9,finish,2.9831,0.8649,0.001
106.200,route_completed,9,9,finish,1.9223,0.9265,0.000
