t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
16.300,entered_tolerance,0,0,start,2.9280,-0.0846,0.000
16.400,hold_started,0,0,start,2.8005,-0.0776,0.001
18.500,exited_tolerance,1,1,transit,23.9285,-0.0070,0.000
18.500,waypoint_reached,0,1,transit,23.9285,-0.0070,0.000
27.700,entered_tolerance,1,1,transit,2.9604,0.8964,0.000
27.800,exited_tolerance,2,2,transit,27.6602,-0.1029,0.000
27.800,waypoint_reached,1,2,transit,27.6602,-0.1029,0.000
36.100,entered_tolerance,2,2,transit,2.9298,0.8865,0.000
36.200,exited_tolerance,3,3,transit,23.0206,-0.0807,0.000
36.200,waypoint_reached,2,3,transit,23.0206,-0.0807,0.000
44.900,entered_tolerance,3,3,transit,2.9981,0.8844,0.000
45.000,exited_tolerance,4,4,transit,21.7685,-0.0535,0.000
45.000,waypoint_reached,3,4,transit,21.7685,-0.0535,0.000
53.300,entered_tolerance,4,4,transit,2.8356,0.8908,0.000
53.401,exited_tolerance,5,5,transit,23.2912,-0.0804,0.000
53.401,waypoint_reached,4,5,transit,23.2912,-0.0804,0.000
61.000,entered_tolerance,5,5,transit,2.9803,0.8621,0.000
61.100,exited_tolerance,6,6,transit,24.1161,-0.1194,0.000
61.100,waypoint_reached,5,6,transit,24.1161,-0.1194,0.000
69.500,entered_tolerance,6,6,transit,2.9454,0.8834,0.000
69.600,exited_tolerance,7,7,transit,21.4597,-0.0500,0.000
69.600,waypoint_reached,6,7,transit,21.4597,-0.0500,0.000
78.200,entered_tolerance,7,7,transit,2.8775,0.8897,0.000
78.300,exited_tolerance,8,8,transit,22.1064,-0.0339,0.000
78.300,waypoint_reached,7,8,transit,22.1064,-0.0339,0.000
87.000,entered_tolerance,8,8,transit,2.9166,0.8885,0.000
87.100,exited_tolerance,9,9,finish,13.1413,-0.2075,0.000
87.100,waypoint_reached,8,9,finish,13.1413,-0.2075,0.000
93.200,entered_tolerance,9,9,finish,2.9009,0.7335,0.000
93.300,hold_started,9,9,finish,2.8398,0.7393,0.001
96.400,route_completed,9,9,finish,0.0000,0.8765,0.000
