t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
14.700,entered_tolerance,0,0,start,2.8796,-0.1658,0.000
14.800,hold_started,0,0,start,2.8193,-0.1628,0.001
16.900,exited_tolerance,1,1,transit,18.0005,-0.1021,0.000
16.900,waypoint_reached,0,1,transit,18.0005,-0.1021,0.000
23.900,entered_tolerance,1,1,transit,2.8009,0.8613,0.000
24.000,exited_tolerance,2,2,transit,17.4054,-0.1392,0.000
24.000,waypoint_reached,1,2,transit,17.4054,-0.1392,0.000
29.600,entered_tolerance,2,2,transit,2.9888,0.8269,0.000
29.700,exited_tolerance,3,3,transit,16.9173,-0.1621,0.000
29.700,waypoint_reached,2,3,transit,16.9173,-0.1621,0.000
35.300,entered_tolerance,3,3,transit,2.7645,0.8113,0.000
35.400,exited_tolerance,4,4,transit,20.7519,-0.1372,0.000
35.400,waypoint_reached,3,4,transit,20.7519,-0.1372,0.000
42.100,entered_tolerance,4,4,transit,2.7666,0.8581,0.000
42.200,exited_tolerance,5,5,transit,22.5739,-0.1213,0.000
42.200,waypoint_reached,4,5,transit,22.5739,-0.1213,0.000
49.400,entered_tolerance,5,5,transit,2.9466,0.8579,0.000
49.500,exited_tolerance,6,6,transit,22.1577,-0.1391,0.000
49.500,waypoint_reached,5,6,transit,22.1577,-0.1391,0.000
56.600,entered_tolerance,6,6,transit,2.9648,0.8477,0.000
56.700,exited_tolerance,7,7,transit,22.9877,-0.1304,0.000
56.700,waypoint_reached,6,7,transit,22.9877,-0.1304,0.000
63.900,entered_tolerance,7,7,transit,2.8140,0.8618,0.000
64.000,exited_tolerance,8,8,transit,17.1753,-0.1822,0.000
64.000,waypoint_reached,7,8,transit,17.1753,-0.1822,0.000
69.800,entered_tolerance,8,8,transit,2.9954,0.7943,0.000
69.900,exited_tolerance,9,9,finish,23.3707,-0.1325,0.000
69.900,waypoint_reached,8,9,finish,23.3707,-0.1325,0.000
85.200,entered_tolerance,9,9,finish,2.9498,0.8571,0.000
85.300,hold_started,9,9,finish,2.8607,0.8614,0.001
88.400,route_completed,9,9,finish,0.0000,0.9141,0.000
