t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
18.000,entered_tolerance,0,0,start,2.9672,-0.1628,0.000
18.100,hold_started,0,0,start,2.8083,-0.1538,0.001
20.200,exited_tolerance,1,1,transit,15.0793,-0.0650,0.000
20.200,waypoint_reached,0,1,transit,15.0793,-0.0650,0.000
26.500,entered_tolerance,1,1,transit,2.9720,0.7949,0.000
26.600,exited_tolerance,2,2,transit,16.9911,-0.0726,0.000
26.600,waypoint_reached,1,2,transit,16.9911,-0.0726,0.000
33.400,waypoint_reached,2,3,transit,16.8264,-0.1137,0.000
41.500,entered_tolerance,3,3,transit,2.9343,0.8664,0.000
41.600,exited_tolerance,4,4,transit,17.6864,-0.1781,0.000
41.600,waypoint_reached,3,4,transit,17.6864,-0.1781,0.000
48.200,waypoint_reached,4,5,transit,20.7295,-0.1561,0.000
56.100,entered_tolerance,5,5,transit,2.9712,0.8722,0.000
56.200,exited_tolerance,6,6,transit,17.9267,-0.1629,0.000
56.200,waypoint_reached,5,6,transit,17.9267,-0.1629,0.000
62.800,entered_tolerance,6,6,transit,2.9718,0.8276,0.000
62.900,exited_tolerance,7,7,transit,19.3141,-0.1400,0.000
62.900,waypoint_reached,6,7,transit,19.3141,-0.1400,0.000
71.500,entered_tolerance,7,7,transit,2.9408,0.8852,0.000
71.600,exited_tolerance,8,8,transit,18.0042,-0.1756,0.000
71.600,waypoint_reached,7,8,transit,18.0042,-0.1756,0.000
79.700,entered_tolerance,8,8,transit,2.9625,0.8893,0.000
79.800,exited_tolerance,9,9,finish,20.2710,-0.1633,0.000
79.800,waypoint_reached,8,9,finish,20.2710,-0.1633,0.000
94.800,entered_tolerance,9,9,finish,2.9615,0.8577,0.000
94.900,hold_started,9,9,finish,2.9141,0.8609,0.001
98.000,route_completed,9,9,finish,0.0000,0.9504,0.000
