t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
16.200,entered_tolerance,0,0,start,2.9552,-0.0808,0.002
16.200,hold_started,0,0,start,2.9552,-0.0808,0.002
18.300,waypoint_reached,0,1,transit,2.0289,-0.0076,0.000
18.400,exited_tolerance,1,1,transit,23.9171,-0.0057,0.000
27.900,entered_tolerance,2,2,transit,2.7709,-0.1007,0.000
27.900,waypoint_reached,1,2,transit,2.7709,-0.1007,0.000
28.000,exited_tolerance,2,2,transit,27.4512,-0.0879,0.000
36.400,entered_tolerance,3,3,transit,2.7008,-0.0843,0.000
36.400,waypoint_reached,2,3,transit,2.7008,-0.0843,0.000
36.500,exited_tolerance,3,3,transit,22.9529,-0.0724,0.000
45.100,entered_tolerance,4,4,transit,2.8994,-0.0629,0.000
45.100,waypoint_reached,3,4,transit,2.8994,-0.0629,0.000
45.200,exited_tolerance,4,4,transit,21.8190,-0.0492,0.000
53.500,entered_tolerance,5,5,transit,2.8285,-0.0880,0.000
53.500,waypoint_reached,4,5,transit,2.8285,-0.0880,0.000
53.600,exited_tolerance,5,5,transit,23.4552,-0.0804,0.000
61.300,entered_tolerance,6,6,transit,2.9412,-0.1005,0.000
61.300,waypoint_reached,5,6,transit,2.9412,-0.1005,0.000
61.400,exited_tolerance,6,6,transit,23.6623,-0.0919,0.000
71.600,entered_tolerance,7,7,transit,2.8123,-0.0181,0.000
71.600,waypoint_reached,6,7,transit,2.8123,-0.0181,0.000
71.700,exited_tolerance,7,7,transit,20.7395,-0.0082,0.000
83.300,entered_tolerance,8,8,transit,2.9790,-0.0327,0.000
83.300,waypoint_reached,7,8,transit,2.9790,-0.0327,0.000
83.400,exited_tolerance,8,8,transit,22.0553,-0.0272,0.000
98.200,entered_tolerance,9,9,finish,2.9751,-0.0862,0.000
98.200,waypoint_reached,8,9,finish,2.9751,-0.0862,0.000
98.300,exited_tolerance,9,9,finish,11.9535,-0.0773,0.000
115.700,entered_tolerance,9,9,finish,2.9777,0.7594,0.001
115.700,hold_started,9,9,finish,2.9777,0.7594,0.001
118.800,route_completed,9,9,finish,2.3995,0.8252,0.000
