t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.100,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,0,0,-0.0055,-0.0073,0.9968,-0.0171,-0.0227,0.0284,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.900,0,0,0,-0.0078,-0.0107,0.9966,-0.0189,-0.0266,0.0327,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.000,0,0,0,-0.0084,-0.0119,0.9964,-0.0176,-0.0263,0.0316,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.100,0,10,0,-0.0092,-0.0141,0.9961,-0.0144,-0.0245,0.0284,0,0,3.00,-4.0361,27.6479,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.200,0,10,0,-0.0103,-0.0163,0.9958,-0.0132,-0.0239,0.0273,0,0,3.00,-4.0361,27.6479,27.9546,9.5642,2.0645,6.0414,1.7153,0.7194,2.5000,nan,nan,0.0000,0.0000
1.300,0,10,0,-0.0114,-0.0182,0.9955,-0.0124,-0.0219,0.0252,0,0,3.00,-4.0361,27.6479,27.9566,9.5663,2.0645,6.0400,1.7153,0.7197,2.5000,nan,nan,0.0000,0.0000
1.400,0,10,0,-0.0117,-0.0186,0.9952,-0.0108,-0.0191,0.0219,0,0,3.00,-4.0361,27.6479,27.9573,9.5671,2.0645,6.0378,1.7153,0.7199,2.5000,427.87,327.23,0.0000,0.0000
