t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
15.800,entered_tolerance,0,0,start,2.8801,-0.1593,0.100
15.800,hold_started,0,0,start,2.8801,-0.1593,0.100
17.800,waypoint_reached,0,1,transit,1.6628,-0.0988,0.000
17.900,exited_tolerance,1,1,transit,17.9344,-0.0972,0.000
25.000,entered_tolerance,2,2,transit,2.9716,-0.1559,0.000
25.000,waypoint_reached,1,2,transit,2.9716,-0.1559,0.000
25.100,exited_tolerance,2,2,transit,17.5124,-0.1367,0.000
31.000,waypoint_reached,2,3,transit,3.1135,-0.1814,0.000
36.600,entered_tolerance,4,4,transit,2.9870,-0.1528,0.000
36.600,waypoint_reached,3,4,transit,2.9870,-0.1528,0.000
36.701,exited_tolerance,4,4,transit,21.0429,-0.1457,0.000
43.500,entered_tolerance,5,5,transit,2.9280,-0.1403,0.000
43.500,waypoint_reached,4,5,transit,2.9280,-0.1403,0.000
43.600,exited_tolerance,5,5,transit,22.6478,-0.1180,0.000
50.700,waypoint_reached,5,6,transit,3.0524,-0.1429,0.000
57.700,entered_tolerance,7,7,transit,2.9368,-0.1369,0.000
57.700,waypoint_reached,6,7,transit,2.9368,-0.1369,0.000
57.800,exited_tolerance,7,7,transit,22.9604,-0.1217,0.000
64.800,waypoint_reached,7,8,transit,3.1390,-0.2045,0.000
70.200,waypoint_reached,8,9,finish,3.0785,-0.1422,0.000
85.100,entered_tolerance,9,9,finish,2.9018,0.8627,0.100
85.100,hold_started,9,9,finish,2.9018,0.8627,0.100
88.100,route_completed,9,9,finish,1.7657,0.9199,0.000
