t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
18.100,entered_tolerance,0,0,start,2.9390,-0.1663,0.001
18.100,hold_started,0,0,start,2.9390,-0.1663,0.001
20.200,exited_tolerance,1,1,transit,15.4351,-0.0902,0.000
20.200,waypoint_reached,0,1,transit,15.4351,-0.0902,0.000
26.900,waypoint_reached,1,2,transit,16.4323,-0.0258,0.000
34.400,waypoint_reached,2,3,transit,17.5897,-0.1710,0.000
42.000,waypoint_reached,3,4,transit,17.8351,-0.1877,0.000
48.700,waypoint_reached,4,5,transit,20.7227,-0.1560,0.000
56.700,waypoint_reached,5,6,transit,17.8556,-0.1570,0.000
63.700,entered_tolerance,6,6,transit,2.9572,0.8673,0.000
63.800,exited_tolerance,7,7,transit,19.6163,-0.1587,0.000
63.800,waypoint_reached,6,7,transit,19.6163,-0.1587,0.000
71.701,waypoint_reached,7,8,transit,18.0822,-0.1708,0.000
78.600,waypoint_reached,8,9,finish,20.3194,-0.1633,0.000
90.200,entered_tolerance,9,9,finish,2.9588,0.8653,0.000
90.300,hold_started,9,9,finish,2.8100,0.8737,0.001
93.400,route_completed,9,9,finish,0.0000,0.9584,0.000
