t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
17.100,entered_tolerance,0,0,start,2.9097,-0.0789,0.001
17.100,hold_started,0,0,start,2.9097,-0.0789,0.001
19.200,waypoint_reached,0,1,transit,1.9908,-0.0061,0.000
19.300,exited_tolerance,1,1,transit,23.8559,-0.0041,0.000
29.000,entered_tolerance,2,2,transit,2.8821,-0.1124,0.000
29.000,waypoint_reached,1,2,transit,2.8821,-0.1124,0.000
29.100,exited_tolerance,2,2,transit,27.5837,-0.0999,0.000
37.600,entered_tolerance,3,3,transit,2.9635,-0.1211,0.000
37.600,waypoint_reached,2,3,transit,2.9635,-0.1211,0.000
37.700,exited_tolerance,3,3,transit,23.7020,-0.1149,0.000
46.100,entered_tolerance,4,4,transit,2.9426,-0.0680,0.000
46.100,waypoint_reached,3,4,transit,2.9426,-0.0680,0.000
46.200,exited_tolerance,4,4,transit,21.7992,-0.0553,0.000
54.800,entered_tolerance,5,5,transit,2.8624,-0.1012,0.000
54.800,waypoint_reached,4,5,transit,2.8624,-0.1012,0.000
54.900,exited_tolerance,5,5,transit,23.5963,-0.0950,0.000
64.300,entered_tolerance,6,6,transit,2.9639,-0.1274,0.000
64.300,waypoint_reached,5,6,transit,2.9639,-0.1274,0.000
64.400,exited_tolerance,6,6,transit,24.2343,-0.1245,0.000
78.600,entered_tolerance,7,7,transit,2.9058,0.0560,0.000
78.600,waypoint_reached,6,7,transit,2.9058,0.0560,0.000
78.700,exited_tolerance,7,7,transit,19.1694,0.0640,0.000
97.300,entered_tolerance,8,8,transit,2.9429,-0.1223,0.000
97.300,waypoint_reached,7,8,transit,2.9429,-0.1223,0.000
97.400,exited_tolerance,8,8,transit,23.6243,-0.1099,0.000
127.600,waypoint_reached,8,9,finish,3.7193,0.1514,0.000
149.100,entered_tolerance,9,9,finish,2.9694,1.1959,0.001
149.100,hold_started,9,9,finish,2.9694,1.1959,0.001
152.200,route_completed,9,9,finish,2.2998,1.0597,0.000
