t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
16.300,entered_tolerance,0,0,start,2.8808,-0.1622,0.002
16.300,hold_started,0,0,start,2.8808,-0.1622,0.002
18.400,exited_tolerance,1,1,transit,15.2536,-0.0783,0.000
18.400,waypoint_reached,0,1,transit,15.2536,-0.0783,0.000
25.300,waypoint_reached,1,2,transit,16.5014,-0.0385,0.000
33.300,waypoint_reached,2,3,transit,17.7526,-0.1844,0.000
40.800,waypoint_reached,3,4,transit,17.7729,-0.1840,0.000
47.700,waypoint_reached,4,5,transit,20.7619,-0.1582,0.000
55.700,waypoint_reached,5,6,transit,18.0492,-0.1706,0.000
62.900,waypoint_reached,6,7,transit,19.7334,-0.1672,0.000
71.000,waypoint_reached,7,8,transit,18.1154,-0.1819,0.000
78.300,waypoint_reached,8,9,finish,20.3317,-0.1668,0.000
90.000,entered_tolerance,9,9,finish,2.8660,0.8742,0.001
90.000,hold_started,9,9,finish,2.8660,0.8742,0.001
93.100,route_completed,9,9,finish,0.0000,0.9493,0.000
