t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.100,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,0.0000,0.0000,0.9992,0.0000,0.0000,0.0000,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,0.0035,0.0021,0.9991,0.0127,0.0076,0.0148,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,0.0058,0.0037,0.9990,0.0199,0.0129,0.0237,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,0.0095,0.0052,0.9989,0.0256,0.0132,0.0288,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,0.0101,0.0022,0.9988,0.0182,-0.0030,0.0184,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,0.0082,-0.0044,0.9987,0.0047,-0.0261,0.0266,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,0,0,0.0071,-0.0083,0.9986,-0.0006,-0.0359,0.0359,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.900,0,0,0,0.0056,-0.0154,0.9985,-0.0055,-0.0484,0.0487,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.000,0,0,0,0.0051,-0.0219,0.9984,-0.0053,-0.0544,0.0546,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.100,0,10,0,0.0046,-0.0288,0.9983,-0.0054,-0.0596,0.0599,0,0,3.00,-3.4462,27.9945,28.2349,-17.9184,1.0058,6.0898,1.6933,0.6950,2.5000,nan,nan,0.0000,0.0000
1.200,0,10,0,0.0042,-0.0324,0.9982,-0.0061,-0.0626,0.0629,0,0,3.00,-3.4462,27.9945,28.2384,-17.9199,1.0058,6.0943,1.6933,0.6951,2.5000,nan,nan,0.0000,0.0000
1.300,0,10,0,0.0032,-0.0397,0.9981,-0.0073,-0.0663,0.0667,0,0,3.00,-3.4462,27.9945,28.2456,-17.9230,1.0058,6.1001,1.6932,0.6951,2.5000,nan,nan,0.0000,0.0000
