t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
14.900,entered_tolerance,0,0,start,2.9703,-0.1784,0.001
14.900,hold_started,0,0,start,2.9703,-0.1784,0.001
17.000,exited_tolerance,1,1,transit,18.4414,-0.1290,0.000
17.000,waypoint_reached,0,1,transit,18.4414,-0.1290,0.000
23.900,entered_tolerance,2,2,transit,2.9379,-0.1624,0.000
23.900,waypoint_reached,1,2,transit,2.9379,-0.1624,0.000
24.000,exited_tolerance,2,2,transit,17.6052,-0.1528,0.000
29.700,waypoint_reached,2,3,transit,3.0509,-0.1844,0.000
35.600,waypoint_reached,3,4,transit,21.2298,-0.1635,0.000
42.600,waypoint_reached,4,5,transit,22.6639,-0.1255,0.000
49.600,entered_tolerance,6,6,transit,2.8786,-0.1458,0.000
49.600,waypoint_reached,5,6,transit,2.8786,-0.1458,0.000
49.700,exited_tolerance,6,6,transit,21.9824,-0.1304,0.000
56.500,waypoint_reached,6,7,transit,23.2447,-0.1430,0.000
63.900,entered_tolerance,8,8,transit,2.7719,-0.1874,0.000
63.900,waypoint_reached,7,8,transit,2.7719,-0.1874,0.000
64.000,exited_tolerance,8,8,transit,17.1047,-0.1769,0.000
69.400,entered_tolerance,9,9,finish,2.9192,-0.1381,0.000
69.400,waypoint_reached,8,9,finish,2.9192,-0.1381,0.000
69.500,exited_tolerance,9,9,finish,23.2584,-0.1267,0.000
84.800,entered_tolerance,9,9,finish,2.9295,0.8602,0.001
84.800,hold_started,9,9,finish,2.9295,0.8602,0.001
87.900,route_completed,9,9,finish,0.0000,0.8955,0.000
