t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.100,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,0,0,0.0000,0.0000,1.0074,0.0000,0.0000,0.0000,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.900,0,0,0,0.0027,-0.0042,1.0079,0.0094,-0.0160,0.0186,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.000,0,10,0,0.0036,-0.0121,1.0087,0.0094,-0.0389,0.0400,0,0,3.00,-3.2310,26.8467,27.0529,-8.7080,1.3629,6.0600,1.6907,0.6820,2.5000,nan,nan,0.0000,0.0000
1.100,0,10,0,0.0040,-0.0165,1.0095,0.0090,-0.0479,0.0487,0,0,3.00,-3.2310,26.8467,27.0572,-8.7093,1.3629,6.0731,1.6906,0.6811,2.5000,nan,nan,0.0000,0.0000
1.200,0,10,0,0.0056,-0.0241,1.0104,0.0114,-0.0580,0.0591,0,0,3.00,-3.2310,26.8467,27.0650,-8.7123,1.3629,6.0887,1.6907,0.6803,2.5000,nan,nan,0.0000,0.0000
1.300,0,10,0,0.0082,-0.0309,1.0112,0.0168,-0.0615,0.0637,0,0,3.00,-3.2310,26.8467,27.0720,-8.7163,1.3629,6.0956,1.6907,0.6796,2.5000,12.27,349.03,0.0000,0.0000
