env_name,route_name_clean,completed,total_time_sec,distance_travelled_m,straight_line_dist_m,path_efficiency,mean_speed_mps,max_speed_mps,mean_abs_cte_m,rms_cte_m,max_abs_cte_m,waypoints_completed,mean_u_ref,mean_left_thrust,mean_right_thrust,summary_file
env_01_calm,route_straight,1,87.8,194.582,183.865,0.9449,2.5462,3.4958,1.2591,2.4221,9.5979,9,2.6076,648.4911,653.5403,/home/misael/Desktop/output_los_mppi_rl/env_01_calm/summary/route_straight.yaml_20260417_115047_summary.csv
env_02_low,route_straight,1,88.4,194.634,183.506,0.9428,2.5151,3.4817,1.1974,2.3552,9.5816,9,2.6308,633.3268,639.0049,/home/misael/Desktop/output_los_mppi_rl/env_02_low/summary/route_straight.yaml_20260417_115634_summary.csv
env_03_medium,route_straight,1,88.1,194.826,183.634,0.9426,2.5157,3.4956,1.2554,2.3674,9.5866,9,2.6199,637.0834,651.2354,/home/misael/Desktop/output_los_mppi_rl/env_03_medium/summary/route_straight.yaml_20260417_120500_summary.csv
env_04_high,route_straight,1,89.1,195.655,183.51,0.9379,2.5288,3.4917,1.3045,2.4017,9.6462,9,2.6403,647.3502,655.2199,/home/misael/Desktop/output_los_mppi_rl/env_04_high/summary/route_straight.yaml_20260417_121140_summary.csv
env_05_severe,route_straight,1,87.9,195.316,183.135,0.9376,2.5017,3.4894,1.2926,2.3748,9.6536,9,2.6377,648.7981,636.5256,/home/misael/Desktop/output_los_mppi_rl/env_05_severe/summary/route_straight.yaml_20260417_121825_summary.csv
env_01_calm,route_curves,1,96.0,233.776,181.448,0.7762,2.7019,3.4908,1.4951,2.074,9.5423,9,3.2045,682.4433,690.5359,/home/misael/Desktop/output_los_mppi_rl/env_01_calm/summary/route_curves.yaml_20260417_114650_summary.csv
env_02_low,route_curves,1,96.4,233.255,181.188,0.7768,2.7187,3.4798,1.4926,2.0413,9.5444,9,3.2157,687.8611,697.9655,/home/misael/Desktop/output_los_mppi_rl/env_02_low/summary/route_curves.yaml_20260417_115817_summary.csv
env_03_medium,route_curves,1,118.8,236.987,181.12,0.7643,2.2575,3.4742,1.588,2.0897,9.5674,9,3.1106,557.4042,563.3364,/home/misael/Desktop/output_los_mppi_rl/env_03_medium/summary/route_curves.yaml_20260417_120652_summary.csv
env_04_high,route_curves,1,152.2,259.789,183.765,0.7074,1.9047,3.4304,1.5841,2.0998,9.6225,9,3.1435,494.9651,484.6406,/home/misael/Desktop/output_los_mppi_rl/env_04_high/summary/route_curves.yaml_20260417_121329_summary.csv
env_05_severe,route_curves,1,146.5,253.086,180.504,0.7132,2.0597,3.4443,1.7251,2.2284,9.5734,9,3.2762,529.8674,516.9879,/home/misael/Desktop/output_los_mppi_rl/env_05_severe/summary/route_curves.yaml_20260417_122501_summary.csv
env_01_calm,route_zigzag,1,106.2,215.242,149.832,0.6961,2.2592,3.4958,2.7013,4.4515,18.0246,9,2.4305,515.8396,511.074,/home/misael/Desktop/output_los_mppi_rl/env_01_calm/summary/route_zigzag.yaml_20260417_114841_summary.csv
env_02_low,route_zigzag,1,98.0,211.885,150.113,0.7085,2.4295,3.4917,2.6569,4.5409,18.0352,9,2.4209,563.3874,561.6704,/home/misael/Desktop/output_los_mppi_rl/env_02_low/summary/route_zigzag.yaml_20260417_120010_summary.csv
env_03_medium,route_zigzag,1,93.4,211.231,150.458,0.7123,2.5305,3.4996,2.6002,4.5691,18.0567,9,2.448,598.1685,589.9548,/home/misael/Desktop/output_los_mppi_rl/env_03_medium/summary/route_zigzag.yaml_20260417_120906_summary.csv
env_04_high,route_zigzag,1,93.1,212.473,150.158,0.7067,2.5896,3.4965,2.6941,4.6322,18.1112,9,2.5199,612.7195,607.8315,/home/misael/Desktop/output_los_mppi_rl/env_04_high/summary/route_zigzag.yaml_20260417_121618_summary.csv
env_05_severe,route_zigzag,1,117.0,218.427,149.378,0.6839,2.1638,3.4898,2.568,4.3047,18.2612,9,2.3854,508.3082,487.089,/home/misael/Desktop/output_los_mppi_rl/env_05_severe/summary/route_zigzag.yaml_20260417_122243_summary.csv
