t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
27.000,entered_tolerance,0,0,start,2.9287,-0.1052,0.001
27.000,hold_started,0,0,start,2.9287,-0.1052,0.001
29.100,waypoint_reached,0,1,transit,2.1821,-0.0671,0.000
29.200,exited_tolerance,1,1,transit,25.2929,-0.0658,0.000
43.000,entered_tolerance,2,2,transit,2.9701,-0.0657,0.000
43.000,waypoint_reached,1,2,transit,2.9701,-0.0657,0.000
43.100,exited_tolerance,2,2,transit,26.7543,-0.0625,0.000
55.700,entered_tolerance,3,3,transit,2.8594,-0.1295,0.000
55.700,waypoint_reached,2,3,transit,2.8594,-0.1295,0.000
55.800,exited_tolerance,3,3,transit,23.8882,-0.1216,0.000
67.800,entered_tolerance,4,4,transit,2.9505,-0.1064,0.000
67.800,waypoint_reached,3,4,transit,2.9505,-0.1064,0.000
67.900,exited_tolerance,4,4,transit,22.7123,-0.0984,0.000
79.000,entered_tolerance,5,5,transit,2.9082,-0.0750,0.000
79.000,waypoint_reached,4,5,transit,2.9082,-0.0750,0.000
79.100,exited_tolerance,5,5,transit,23.2121,-0.0708,0.000
90.000,entered_tolerance,6,6,transit,2.9546,-0.1336,0.000
90.000,waypoint_reached,5,6,transit,2.9546,-0.1336,0.000
90.100,exited_tolerance,6,6,transit,24.3345,-0.1268,0.000
104.200,waypoint_reached,6,7,transit,3.0298,-0.0221,0.000
115.100,entered_tolerance,8,8,transit,2.9485,-0.0862,0.000
115.100,waypoint_reached,7,8,transit,2.9485,-0.0862,0.000
115.200,exited_tolerance,8,8,transit,23.1876,-0.0822,0.000
126.300,entered_tolerance,9,9,finish,2.9838,-0.1453,0.000
126.300,waypoint_reached,8,9,finish,2.9838,-0.1453,0.000
126.400,exited_tolerance,9,9,finish,12.5505,-0.1300,0.000
137.500,entered_tolerance,9,9,finish,2.9815,0.7426,0.001
137.500,hold_started,9,9,finish,2.9815,0.7426,0.001
140.600,route_completed,9,9,finish,2.1710,0.8418,0.000
