t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,0.0002,0.0006,1.0000,0.0009,0.0026,0.0028,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.100,0,0,0,0.0014,0.0029,1.0000,0.0051,0.0101,0.0113,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,0.0027,0.0049,1.0000,0.0078,0.0133,0.0155,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,0.0028,0.0049,1.0000,0.0049,0.0081,0.0095,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,0.0022,0.0040,1.0000,0.0016,0.0031,0.0034,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,0.0002,0.0014,1.0000,-0.0059,-0.0073,0.0094,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,-0.0013,-0.0005,1.0000,-0.0093,-0.0116,0.0149,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,-0.0014,-0.0006,1.0000,-0.0061,-0.0075,0.0097,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,0,0,-0.0003,0.0009,1.0000,0.0002,0.0005,0.0005,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.900,0,0,0,0.0009,0.0024,1.0000,0.0042,0.0058,0.0072,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.000,0,10,0,0.0012,0.0028,1.0000,0.0046,0.0064,0.0079,0,0,3.00,-4.0404,27.6396,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.100,0,10,0,0.0011,0.0029,1.0000,0.0027,0.0041,0.0049,0,0,3.00,-4.0404,27.6396,27.9306,9.5382,2.0645,6.0104,1.7160,0.7160,2.5000,94.97,290.03,0.0000,0.0000
1.200,0,10,0,0.0025,0.0048,1.0006,0.0073,0.0107,0.0129,0,0,3.00,-4.0404,27.6396,27.9305,9.5383,2.0645,6.0069,1.7160,0.7158,2.5000,98.14,286.86,0.0000,0.0000
1.300,0,10,0,0.0112,0.0148,1.0030,0.0373,0.0438,0.0575,0,0,3.00,-4.0404,27.6396,27.9255,9.5313,2.0645,6.0460,1.7162,0.7147,2.5000,108.89,276.11,0.0000,0.0000
1.400,0,10,0,0.0284,0.0343,1.0076,0.0869,0.1000,0.1325,0,0,3.00,-4.0404,27.6396,27.9128,9.5128,2.0645,6.1370,1.7167,0.7117,2.5000,108.88,276.12,0.0000,0.0000
1.500,0,10,0,0.0534,0.0646,1.0139,0.1468,0.1747,0.2282,0,0,3.00,-4.0404,27.6396,27.8912,9.4822,2.0645,6.2664,1.7176,0.7071,2.5000,111.42,273.58,0.0000,0.0000
1.600,0,10,0,0.0853,0.1058,1.0210,0.2100,0.2616,0.3354,0,0,3.00,-4.0404,27.6396,27.8599,9.4399,2.0645,6.4197,1.7188,0.7011,2.5000,120.81,264.19,0.0000,0.0000
1.700,0,10,0,0.1236,0.1568,1.0309,0.2734,0.3527,0.4462,0,0,3.00,-4.0404,27.6396,27.8192,9.3869,2.0645,6.5842,1.7203,0.6941,2.5000,121.72,263.28,0.0000,0.0000
1.800,0,10,0,0.1678,0.2161,1.0388,0.3350,0.4404,0.5533,0,0,3.00,-4.0404,27.6396,27.7705,9.3241,2.0645,6.7486,1.7221,0.6874,2.5000,126.50,258.50,0.0000,0.0000
1.900,0,10,0,0.2166,0.2817,1.0493,0.3910,0.5192,0.6499,0,0,3.00,-4.0404,27.6396,27.7156,9.2531,2.0645,6.9022,1.7241,0.6801,2.5000,130.29,254.71,0.0000,0.0000
2.000,0,10,0,0.2431,0.3175,1.0582,0.4143,0.5528,0.6909,0,0,3.00,-4.0404,27.6396,27.6872,9.2165,2.0645,6.9749,1.7252,0.6726,2.5000,130.66,254.34,0.0000,0.0000
2.100,0,10,0,0.2959,0.3901,1.0661,0.4555,0.6154,0.7656,0,0,3.00,-4.0404,27.6396,27.6256,9.1374,2.0645,7.0980,1.7274,0.6670,2.5000,130.68,254.32,0.0000,0.0000
2.201,0,10,0,0.3222,0.4267,1.0754,0.4739,0.6450,0.8004,0,0,3.00,-4.0404,27.6396,27.5604,9.0548,2.0645,7.2006,1.7298,0.6579,2.5000,135.25,249.75,0.0000,0.0000
2.300,0,10,0,0.3778,0.5054,1.0837,0.5042,0.6969,0.8602,0,0,3.00,-4.0404,27.6396,27.5254,9.0109,2.0645,7.2432,1.7310,0.6521,2.5000,136.66,248.34,0.0000,0.0000
2.400,0,10,0,0.4074,0.5476,1.0920,0.5172,0.7199,0.8864,0,0,3.00,-4.0404,27.6396,27.4916,8.9685,2.0645,7.2902,1.7322,0.6462,2.5000,138.20,246.80,0.0000,0.0000
2.500,0,10,0,0.4671,0.6333,1.1028,0.5458,0.7694,0.9433,0,0,3.00,-4.0404,27.6396,27.4190,8.8779,2.0645,7.3758,1.7348,0.6368,2.5000,143.87,241.13,0.0000,0.0000
2.600,0,10,0,0.4970,0.6767,1.1124,0.5614,0.7962,0.9742,0,0,3.00,-4.0404,27.6396,27.3421,8.7824,2.0645,7.4613,1.7375,0.6299,2.5000,141.98,243.02,0.0000,0.0000
2.700,0,10,0,0.5603,0.7695,1.1220,0.5876,0.8449,1.0291,0,0,3.00,-4.0404,27.6396,27.3009,8.7315,2.0645,7.4995,1.7390,0.6205,2.5000,139.77,245.23,0.0000,0.0000
2.800,0,10,0,0.6247,0.8661,1.1328,0.6083,0.8895,1.0777,0,0,3.00,-4.0404,27.6396,27.2181,8.6302,2.0645,7.5777,1.7419,0.6151,2.5000,138.95,246.05,0.0000,0.0000
2.900,0,10,0,0.6895,0.9652,1.1436,0.6232,0.9269,1.1169,0,0,3.00,-4.0404,27.6396,27.1326,8.5268,2.0645,7.6436,1.7448,0.6060,2.5000,147.56,237.44,0.0000,0.0000
