t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
28.800,entered_tolerance,0,0,start,2.9381,-0.0545,0.001
28.800,hold_started,0,0,start,2.9381,-0.0545,0.001
30.900,exited_tolerance,1,1,transit,16.6657,-0.0110,0.000
30.900,waypoint_reached,0,1,transit,16.6657,-0.0110,0.000
44.100,waypoint_reached,1,2,transit,15.8676,0.0641,0.000
52.400,entered_tolerance,2,2,transit,2.9976,0.8256,0.000
52.500,exited_tolerance,3,3,transit,17.0654,-0.1719,0.000
52.500,waypoint_reached,2,3,transit,17.0654,-0.1719,0.000
65.000,waypoint_reached,3,4,transit,17.8556,0.0398,0.000
73.500,entered_tolerance,4,4,transit,2.9947,0.8372,0.000
73.600,exited_tolerance,5,5,transit,22.9165,-0.1392,0.000
73.600,waypoint_reached,4,5,transit,22.9165,-0.1392,0.000
85.200,waypoint_reached,5,6,transit,21.5444,-0.1030,0.000
95.700,waypoint_reached,6,7,transit,23.0648,-0.1332,0.000
106.700,entered_tolerance,7,7,transit,2.9797,0.8555,0.000
106.800,exited_tolerance,8,8,transit,17.2986,-0.1904,0.000
106.800,waypoint_reached,7,8,transit,17.2986,-0.1904,0.000
116.200,entered_tolerance,8,8,transit,2.9583,0.8039,0.000
116.300,exited_tolerance,9,9,finish,23.3553,-0.1312,0.000
116.300,waypoint_reached,8,9,finish,23.3553,-0.1312,0.000
140.600,entered_tolerance,9,9,finish,2.9393,0.8576,0.001
140.600,hold_started,9,9,finish,2.9393,0.8576,0.001
143.700,route_completed,9,9,finish,0.0000,0.9069,0.000
