t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.100,0,0,0,-0.0002,-0.0003,1.0000,-0.0009,-0.0013,0.0016,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,-0.0010,-0.0011,1.0000,-0.0033,-0.0036,0.0049,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,-0.0014,-0.0010,1.0000,-0.0036,-0.0017,0.0040,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,-0.0007,0.0008,1.0000,0.0004,0.0054,0.0054,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,0.0007,0.0032,1.0000,0.0055,0.0120,0.0132,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,0.0007,0.0032,1.0000,0.0055,0.0120,0.0132,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,0.0007,0.0032,1.0000,0.0055,0.0120,0.0132,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,10,0,0.0007,0.0030,1.0000,0.0009,0.0028,0.0030,0,0,3.00,-3.4481,27.9723,28.1811,-17.8877,1.0058,6.0044,1.6935,0.6935,2.5000,nan,nan,0.0000,0.0000
0.900,0,10,0,-0.0002,0.0018,1.0000,-0.0029,-0.0027,0.0039,0,0,3.00,-3.4481,27.9723,28.1821,-17.8876,1.0058,6.0059,1.6934,0.6934,2.5000,94.93,290.07,0.0000,0.0000
1.000,0,10,0,-0.0023,-0.0006,1.0003,-0.0078,-0.0085,0.0115,0,0,3.00,-3.4481,27.9723,28.1844,-17.8871,1.0058,6.0173,1.6934,0.6931,2.5000,95.62,289.38,0.0000,0.0000
1.100,0,10,0,0.0037,0.0067,1.0018,0.0171,0.0218,0.0278,0,0,3.00,-3.4481,27.9723,28.1778,-17.8882,1.0058,6.0416,1.6936,0.6918,2.5000,106.06,278.94,0.0000,0.0000
1.200,0,10,0,0.0189,0.0245,1.0056,0.0662,0.0783,0.1025,0,0,3.00,-3.4481,27.9723,28.1620,-17.8916,1.0058,6.1538,1.6942,0.6886,2.5000,111.85,273.15,0.0000,0.0000
1.300,0,10,0,0.0420,0.0524,1.0101,0.1261,0.1513,0.1969,0,0,3.00,-3.4481,27.9723,28.1372,-17.8962,1.0058,6.2954,1.6952,0.6851,2.5000,121.48,263.52,0.0000,0.0000
1.400,0,10,0,0.0556,0.0695,1.0164,0.1576,0.1924,0.2487,0,0,3.00,-3.4481,27.9723,28.1219,-17.8985,1.0058,6.3731,1.6957,0.6793,2.5000,117.62,267.38,0.0000,0.0000
1.500,0,10,0,0.0881,0.1121,1.0237,0.2188,0.2778,0.3536,0,0,3.00,-3.4481,27.9723,28.0837,-17.9032,1.0058,6.5305,1.6970,0.6733,2.5000,125.46,259.54,0.0000,0.0000
1.600,0,10,0,0.1265,0.1636,1.0329,0.2792,0.3648,0.4594,0,0,3.00,-3.4481,27.9723,28.0375,-17.9080,1.0058,6.6891,1.6986,0.6658,2.5000,133.84,251.16,0.0000,0.0000
1.700,0,10,0,0.1705,0.2229,1.0418,0.3381,0.4482,0.5614,0,0,3.00,-3.4481,27.9723,27.9843,-17.9134,1.0058,6.8421,1.7005,0.6587,2.5000,132.30,252.70,0.0000,0.0000
1.800,0,10,0,0.2190,0.2884,1.0522,0.3918,0.5237,0.6541,0,0,3.00,-3.4481,27.9723,27.9257,-17.9193,1.0058,6.9811,1.7025,0.6503,2.5000,131.27,253.73,0.0000,0.0000
1.900,0,10,0,0.2705,0.3589,1.0631,0.4366,0.5900,0.7340,0,0,3.00,-3.4481,27.9723,27.8626,-17.9250,1.0058,7.1010,1.7047,0.6416,2.5000,134.11,250.89,0.0000,0.0000
2.000,0,10,0,0.3240,0.4339,1.0743,0.4728,0.6486,0.8026,0,0,3.00,-3.4481,27.9723,27.7955,-17.9301,1.0058,7.2039,1.7069,0.6326,2.5000,129.63,255.37,0.0000,0.0000
2.100,0,10,0,0.3799,0.5135,1.0847,0.5042,0.7029,0.8651,0,0,3.00,-3.4481,27.9723,27.7243,-17.9346,1.0058,7.2976,1.7093,0.6246,2.5000,137.62,247.38,0.0000,0.0000
2.200,0,10,0,0.4386,0.5981,1.0964,0.5350,0.7555,0.9257,0,0,3.00,-3.4481,27.9723,27.6487,-17.9390,1.0058,7.3886,1.7118,0.6154,2.5000,141.28,243.72,0.0000,0.0000
