t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
29.900,entered_tolerance,0,0,start,2.9890,-0.1059,0.000
30.000,hold_started,0,0,start,2.9188,-0.1026,0.002
32.100,exited_tolerance,1,1,transit,25.2881,-0.0660,0.000
32.100,waypoint_reached,0,1,transit,25.2881,-0.0660,0.000
45.900,entered_tolerance,1,1,transit,2.9813,0.9665,0.000
46.000,exited_tolerance,2,2,transit,26.8547,-0.0668,0.000
46.000,waypoint_reached,1,2,transit,26.8547,-0.0668,0.000
59.700,waypoint_reached,2,3,transit,24.1043,-0.1349,0.000
72.100,entered_tolerance,3,3,transit,2.9880,0.9197,0.000
72.200,exited_tolerance,4,4,transit,23.1346,-0.1248,0.000
72.200,waypoint_reached,3,4,transit,23.1346,-0.1248,0.000
83.700,entered_tolerance,4,4,transit,2.9585,0.9026,0.000
83.800,exited_tolerance,5,5,transit,23.5976,-0.0948,0.000
83.800,waypoint_reached,4,5,transit,23.5976,-0.0948,0.000
95.500,waypoint_reached,5,6,transit,24.3631,-0.1311,0.000
110.000,waypoint_reached,6,7,transit,21.1541,-0.0303,0.000
121.300,entered_tolerance,7,7,transit,2.9970,0.9810,0.000
121.400,exited_tolerance,8,8,transit,23.0730,-0.0802,0.000
121.400,waypoint_reached,7,8,transit,23.0730,-0.0802,0.000
133.000,waypoint_reached,8,9,finish,12.4280,-0.1238,0.000
144.400,entered_tolerance,9,9,finish,2.9974,0.7379,0.000
144.500,hold_started,9,9,finish,2.9316,0.7449,0.003
147.600,route_completed,9,9,finish,0.0000,0.8371,0.000
