t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
26.300,entered_tolerance,0,0,start,2.9930,-0.0761,0.000
26.400,hold_started,0,0,start,2.9196,-0.0727,0.001
28.500,exited_tolerance,1,1,transit,16.9937,-0.0329,0.000
28.500,waypoint_reached,0,1,transit,16.9937,-0.0329,0.000
41.500,waypoint_reached,1,2,transit,15.7617,0.0729,0.000
49.200,entered_tolerance,2,2,transit,2.9918,0.8370,0.000
49.300,exited_tolerance,3,3,transit,16.9682,-0.1592,0.000
49.300,waypoint_reached,2,3,transit,16.9682,-0.1592,0.000
58.900,waypoint_reached,3,4,transit,20.6794,-0.1248,0.000
68.900,waypoint_reached,4,5,transit,22.6521,-0.1201,0.000
79.500,waypoint_reached,5,6,transit,22.0352,-0.1313,0.000
90.100,entered_tolerance,6,6,transit,2.9775,0.8727,0.000
90.200,exited_tolerance,7,7,transit,22.7720,-0.1128,0.000
90.200,waypoint_reached,6,7,transit,22.7720,-0.1128,0.000
102.900,waypoint_reached,7,8,transit,14.0782,0.0799,0.000
109.800,entered_tolerance,8,8,transit,2.9935,0.8011,0.000
109.900,exited_tolerance,9,9,finish,23.4652,-0.1339,0.000
109.900,waypoint_reached,8,9,finish,23.4652,-0.1339,0.000
136.300,entered_tolerance,9,9,finish,2.9925,0.8596,0.000
136.400,hold_started,9,9,finish,2.9386,0.8627,0.001
139.500,route_completed,9,9,finish,0.0000,0.9006,0.000
