t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.100,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,0.0011,0.0017,0.9995,0.0048,0.0072,0.0086,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,0.0054,0.0078,0.9995,0.0184,0.0266,0.0324,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,0.0087,0.0124,0.9994,0.0234,0.0333,0.0407,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,0.0092,0.0132,0.9993,0.0209,0.0296,0.0362,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,0.0090,0.0129,0.9993,0.0157,0.0224,0.0274,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,0.0070,0.0102,0.9992,0.0026,0.0043,0.0050,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,0,0,0.0050,0.0072,0.9991,-0.0054,-0.0077,0.0094,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.900,0,0,0,0.0045,0.0062,0.9991,-0.0063,-0.0100,0.0118,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.000,0,0,0,0.0042,0.0051,0.9990,-0.0049,-0.0106,0.0117,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.100,0,0,0,0.0040,0.0040,0.9989,-0.0040,-0.0107,0.0114,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.200,0,10,0,0.0037,0.0034,0.9988,-0.0043,-0.0110,0.0118,0,0,3.00,-3.4427,27.9822,28.1903,-17.8909,1.0058,6.0177,1.6934,0.6945,2.5000,97.41,287.59,0.0000,0.0000
1.300,0,10,0,0.0032,0.0025,0.9988,-0.0047,-0.0101,0.0111,0,0,3.00,-3.4427,27.9822,28.1911,-17.8909,1.0058,6.0167,1.6933,0.6946,2.5000,102.42,282.58,0.0000,0.0000
