t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
28.900,entered_tolerance,0,0,start,2.9319,-0.1163,0.002
28.900,hold_started,0,0,start,2.9319,-0.1163,0.002
31.000,exited_tolerance,1,1,transit,25.6993,-0.0847,0.000
31.000,waypoint_reached,0,1,transit,25.6993,-0.0847,0.000
43.600,entered_tolerance,1,1,transit,2.9708,0.9013,0.000
43.700,exited_tolerance,2,2,transit,27.8112,-0.1054,0.000
43.700,waypoint_reached,1,2,transit,27.8112,-0.1054,0.000
57.100,entered_tolerance,2,2,transit,2.9955,0.8969,0.000
57.200,exited_tolerance,3,3,transit,24.0257,-0.1281,0.000
57.200,waypoint_reached,2,3,transit,24.0257,-0.1281,0.000
69.100,entered_tolerance,3,3,transit,2.9353,0.9281,0.000
69.200,exited_tolerance,4,4,transit,23.0514,-0.1164,0.000
69.200,waypoint_reached,3,4,transit,23.0514,-0.1164,0.000
80.200,waypoint_reached,4,5,transit,24.3374,-0.1277,0.000
94.400,waypoint_reached,5,6,transit,22.0804,-0.0100,0.000
108.400,waypoint_reached,6,7,transit,21.3373,-0.0337,0.000
120.000,waypoint_reached,7,8,transit,23.5223,-0.0993,0.000
131.600,entered_tolerance,8,8,transit,2.9846,0.9104,0.000
131.700,exited_tolerance,9,9,finish,12.5508,-0.1305,0.000
131.700,waypoint_reached,8,9,finish,12.5508,-0.1305,0.000
143.200,entered_tolerance,9,9,finish,2.9841,0.7537,0.000
143.300,hold_started,9,9,finish,2.9281,0.7604,0.001
146.400,route_completed,9,9,finish,0.0000,0.8433,0.000
