t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
27.600,entered_tolerance,0,0,start,2.9943,-0.0880,0.001
27.600,hold_started,0,0,start,2.9943,-0.0880,0.001
29.700,waypoint_reached,0,1,transit,2.1641,-0.0645,0.000
29.800,exited_tolerance,1,1,transit,17.4847,-0.0643,0.000
42.900,waypoint_reached,1,2,transit,6.0144,0.0618,0.000
50.800,waypoint_reached,2,3,transit,3.0510,-0.2016,0.000
63.400,waypoint_reached,3,4,transit,3.3043,0.0389,0.000
72.100,waypoint_reached,4,5,transit,3.0798,-0.1475,0.000
83.500,entered_tolerance,6,6,transit,2.9242,-0.1334,0.000
83.500,waypoint_reached,5,6,transit,2.9242,-0.1334,0.000
83.600,exited_tolerance,6,6,transit,21.9772,-0.1245,0.000
95.200,entered_tolerance,7,7,transit,2.9758,-0.0961,0.000
95.200,waypoint_reached,6,7,transit,2.9758,-0.0961,0.000
95.300,exited_tolerance,7,7,transit,22.3177,-0.0882,0.000
106.000,entered_tolerance,8,8,transit,2.9828,-0.1926,0.000
106.000,waypoint_reached,7,8,transit,2.9828,-0.1926,0.000
106.100,exited_tolerance,8,8,transit,17.2542,-0.1805,0.000
115.600,entered_tolerance,9,9,finish,2.9405,-0.1354,0.000
115.600,waypoint_reached,8,9,finish,2.9405,-0.1354,0.000
115.700,exited_tolerance,9,9,finish,23.3671,-0.1319,0.000
141.000,entered_tolerance,9,9,finish,2.9609,0.8585,0.099
141.000,hold_started,9,9,finish,2.9609,0.8585,0.099
144.000,route_completed,9,9,finish,2.0399,0.9018,0.000
