t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.100,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,0.0012,0.0017,0.9977,0.0045,0.0065,0.0079,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,0.0019,0.0027,0.9976,0.0066,0.0095,0.0115,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,0.0011,0.0017,0.9974,0.0008,0.0017,0.0019,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,-0.0004,-0.0002,0.9971,-0.0049,-0.0059,0.0077,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,-0.0020,-0.0024,0.9970,-0.0107,-0.0137,0.0174,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,-0.0050,-0.0065,0.9967,-0.0173,-0.0234,0.0291,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,0,0,-0.0065,-0.0092,0.9965,-0.0165,-0.0247,0.0297,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.900,0,0,0,-0.0070,-0.0103,0.9962,-0.0150,-0.0240,0.0283,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.000,0,10,0,-0.0079,-0.0125,0.9959,-0.0129,-0.0233,0.0266,0,0,3.00,-3.1973,26.8232,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.100,0,10,0,-0.0085,-0.0136,0.9957,-0.0127,-0.0233,0.0265,0,0,3.00,-3.1973,26.8232,27.0257,-8.6586,1.3629,6.0398,1.6891,0.6932,2.5000,96.68,288.32,0.0000,0.0000
1.200,0,10,0,-0.0096,-0.0155,0.9954,-0.0121,-0.0215,0.0247,0,0,3.00,-3.1973,26.8232,27.0274,-8.6579,1.3629,6.0370,1.6890,0.6935,2.5000,93.04,291.96,0.0000,0.0000
1.300,0,10,0,-0.0097,-0.0157,0.9952,-0.0079,-0.0141,0.0161,0,0,3.00,-3.1973,26.8232,27.0278,-8.6577,1.3629,6.0323,1.6890,0.6937,2.5000,95.19,289.81,0.0000,0.0000
