t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
27.800,entered_tolerance,0,0,start,2.9348,-0.0654,0.100
27.800,hold_started,0,0,start,2.9348,-0.0654,0.100
29.800,waypoint_reached,0,1,transit,2.1739,-0.0566,0.000
29.900,exited_tolerance,1,1,transit,15.0596,-0.0566,0.000
43.500,waypoint_reached,1,2,transit,7.0826,0.3878,0.000
54.100,waypoint_reached,2,3,transit,9.1119,0.5531,0.000
62.400,waypoint_reached,3,4,transit,7.0314,0.4300,0.000
70.400,waypoint_reached,4,5,transit,5.5497,0.2924,0.000
80.000,waypoint_reached,5,6,transit,7.3772,0.4555,0.000
89.600,waypoint_reached,6,7,transit,9.5088,0.5243,0.000
98.500,waypoint_reached,7,8,transit,8.3562,0.5088,0.000
106.500,waypoint_reached,8,9,finish,6.7250,0.3451,0.000
119.600,entered_tolerance,9,9,finish,2.9838,0.9062,0.001
119.600,hold_started,9,9,finish,2.9838,0.9062,0.001
122.700,route_completed,9,9,finish,2.6676,0.9677,0.000
