t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.100,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,0.0000,0.0000,0.9961,0.0000,0.0000,0.0000,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,-0.0008,-0.0020,0.9959,-0.0031,-0.0073,0.0079,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,-0.0020,-0.0042,0.9956,-0.0063,-0.0126,0.0140,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,-0.0025,-0.0050,0.9954,-0.0071,-0.0133,0.0150,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,-0.0027,-0.0053,0.9952,-0.0048,-0.0095,0.0106,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,-0.0022,-0.0048,0.9949,-0.0019,-0.0057,0.0060,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,0,0,-0.0007,-0.0036,0.9945,0.0042,0.0006,0.0042,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.900,0,0,0,0.0002,-0.0037,0.9942,0.0058,0.0001,0.0058,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.000,0,0,0,0.0001,-0.0045,0.9940,0.0042,-0.0033,0.0053,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.100,0,10,0,0.0001,-0.0045,0.9940,0.0042,-0.0033,0.0053,0,0,3.00,-3.4335,27.9947,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.200,0,10,0,0.0001,-0.0045,0.9940,0.0042,-0.0033,0.0053,0,0,3.00,-3.4335,27.9947,28.2090,-17.8909,1.0058,6.0080,1.6928,0.6988,2.5000,90.36,294.64,0.0000,0.0000
1.300,0,10,0,0.0001,-0.0045,0.9940,0.0042,-0.0033,0.0053,0,0,3.00,-3.4335,27.9947,28.2090,-17.8909,1.0058,6.0080,1.6928,0.6988,2.5000,90.36,294.64,0.0000,0.0000
