t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
27.600,entered_tolerance,0,0,start,2.9950,-0.1263,0.001
27.600,hold_started,0,0,start,2.9950,-0.1263,0.001
29.700,exited_tolerance,1,1,transit,26.1100,-0.1023,0.000
29.700,waypoint_reached,0,1,transit,26.1100,-0.1023,0.000
42.600,waypoint_reached,1,2,transit,28.0069,-0.1169,0.000
56.600,waypoint_reached,2,3,transit,24.0563,-0.1281,0.000
70.800,waypoint_reached,3,4,transit,23.3622,-0.0975,0.000
85.500,waypoint_reached,4,5,transit,21.0642,0.0356,0.000
100.900,waypoint_reached,5,6,transit,24.2490,-0.0899,0.000
118.700,waypoint_reached,6,7,transit,21.8446,-0.0682,0.000
141.500,waypoint_reached,7,8,transit,27.0103,-0.1963,0.000
165.600,waypoint_reached,8,9,finish,13.4278,-0.2319,0.000
196.200,entered_tolerance,9,9,finish,2.9796,0.7309,0.001
196.200,hold_started,9,9,finish,2.9796,0.7309,0.001
199.200,route_completed,9,9,finish,0.0000,0.7794,0.000
