t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,-0.0002,-0.0026,0.9984,-0.0009,-0.0110,0.0110,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.100,0,0,0,-0.0006,-0.0091,0.9984,-0.0020,-0.0305,0.0306,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,-0.0009,-0.0128,0.9983,-0.0029,-0.0384,0.0385,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,-0.0014,-0.0163,0.9983,-0.0041,-0.0456,0.0458,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,-0.0023,-0.0236,0.9981,-0.0060,-0.0555,0.0558,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,-0.0023,-0.0236,0.9981,-0.0060,-0.0555,0.0558,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,-0.0023,-0.0236,0.9981,-0.0060,-0.0555,0.0558,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,-0.0023,-0.0236,0.9981,-0.0060,-0.0555,0.0558,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,10,0,-0.0006,-0.0410,0.9979,0.0037,-0.0568,0.0570,0,0,3.00,-4.0455,27.6769,28.0115,9.5739,2.0645,6.0854,1.7157,0.7178,2.5000,nan,nan,0.0000,0.0000
0.900,0,10,0,-0.0010,-0.0488,0.9977,0.0009,-0.0650,0.0650,0,0,3.00,-4.0455,27.6769,28.0192,9.5779,2.0645,6.0976,1.7157,0.7179,2.5000,90.50,294.50,0.0000,0.0000
