t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,0.0000,0.0000,0.9992,0.0000,0.0000,0.0000,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.100,0,0,0,0.0015,-0.0006,0.9991,0.0060,-0.0014,0.0061,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,0.0060,0.0025,0.9991,0.0204,0.0105,0.0229,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,0.0097,0.0040,0.9989,0.0259,0.0116,0.0284,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,0.0104,0.0031,0.9988,0.0235,0.0056,0.0242,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,0.0095,-0.0021,0.9988,0.0117,-0.0153,0.0192,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,0.0085,-0.0056,0.9987,0.0049,-0.0268,0.0272,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,0.0085,-0.0056,0.9987,0.0049,-0.0268,0.0272,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,0,0,0.0085,-0.0056,0.9987,0.0049,-0.0268,0.0272,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.900,0,0,0,0.0085,-0.0056,0.9987,0.0049,-0.0268,0.0272,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.000,0,0,0,0.0048,-0.0300,0.9984,-0.0046,-0.0583,0.0584,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.100,0,0,0,0.0039,-0.0374,0.9982,-0.0064,-0.0639,0.0642,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.200,0,10,0,0.0034,-0.0409,0.9981,-0.0069,-0.0656,0.0660,0,0,3.00,-3.2028,26.8324,27.0638,-8.6831,1.3629,6.0990,1.6895,0.6914,2.5000,nan,nan,0.0000,0.0000
1.300,0,10,0,0.0033,-0.0471,0.9980,-0.0048,-0.0641,0.0643,0,0,3.00,-3.2028,26.8324,27.0672,-8.6836,1.3629,6.0989,1.6895,0.6915,2.5000,97.60,287.40,0.0000,0.0000
1.400,0,10,0,0.0079,-0.0474,0.9988,0.0148,-0.0411,0.0437,0,0,3.00,-3.2028,26.8324,27.0713,-8.6859,1.3629,6.0837,1.6896,0.6914,2.5000,102.50,282.50,0.0000,0.0000
1.500,0,10,0,0.0204,-0.0398,1.0012,0.0554,0.0020,0.0554,0,0,3.00,-3.2028,26.8324,27.0685,-8.6937,1.3629,6.0591,1.6899,0.6900,2.5000,109.24,275.76,0.0000,0.0000
1.600,0,10,0,0.0397,-0.0246,1.0059,0.1059,0.0573,0.1204,0,0,3.00,-3.2028,26.8324,27.0591,-8.7071,1.3629,6.1265,1.6905,0.6872,2.5000,109.56,275.44,0.0000,0.0000
1.700,0,10,0,0.0521,-0.0134,1.0117,0.1322,0.0888,0.1593,0,0,3.00,-3.2028,26.8324,27.0520,-8.7153,1.3629,6.1806,1.6909,0.6827,2.5000,116.97,268.03,0.0000,0.0000
1.800,0,10,0,0.0809,0.0157,1.0186,0.1886,0.1623,0.2489,0,0,3.00,-3.2028,26.8324,27.0312,-8.7352,1.3629,6.3046,1.6920,0.6766,2.5000,122.68,262.32,0.0000,0.0000
1.900,0,10,0,0.1167,0.0557,1.0275,0.2502,0.2484,0.3526,0,0,3.00,-3.2028,26.8324,27.0011,-8.7596,1.3629,6.4503,1.6933,0.6704,2.5000,125.58,259.42,0.0000,0.0000
2.000,0,10,0,0.1598,0.1062,1.0373,0.3157,0.3411,0.4648,0,0,3.00,-3.2028,26.8324,26.9610,-8.7889,1.3629,6.6146,1.6950,0.6637,2.5000,126.53,258.47,0.0000,0.0000
2.100,0,10,0,0.2087,0.1648,1.0456,0.3781,0.4296,0.5723,0,0,3.00,-3.2028,26.8324,26.9124,-8.8227,1.3629,6.7825,1.6969,0.6556,2.5000,134.72,250.28,0.0000,0.0000
2.200,0,10,0,0.2608,0.2289,1.0564,0.4298,0.5058,0.6638,0,0,3.00,-3.2028,26.8324,26.8578,-8.8597,1.3629,6.9334,1.6991,0.6481,2.5000,130.58,254.42,0.0000,0.0000
2.300,0,10,0,0.3148,0.2969,1.0676,0.4691,0.5687,0.7372,0,0,3.00,-3.2028,26.8324,26.7991,-8.8980,1.3629,7.0567,1.7014,0.6394,2.5000,137.04,247.96,0.0000,0.0000
2.400,0,10,0,0.3415,0.3312,1.0756,0.4868,0.5980,0.7711,0,0,3.00,-3.2028,26.8324,26.7371,-8.9371,1.3629,7.1566,1.7037,0.6316,2.5000,140.44,244.56,0.0000,0.0000
