t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.100,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,0.0043,0.0031,0.9990,0.0158,0.0112,0.0194,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,0.0080,0.0046,0.9989,0.0230,0.0120,0.0260,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,0.0086,0.0016,0.9988,0.0165,-0.0037,0.0169,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,0.0078,-0.0016,0.9987,0.0102,-0.0150,0.0181,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,0.0067,-0.0051,0.9987,0.0037,-0.0266,0.0269,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,0.0047,-0.0125,0.9986,-0.0048,-0.0438,0.0441,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,0,0,0.0038,-0.0192,0.9985,-0.0061,-0.0521,0.0525,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.900,0,0,0,0.0036,-0.0226,0.9984,-0.0057,-0.0545,0.0548,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.000,0,0,0,0.0031,-0.0294,0.9983,-0.0056,-0.0597,0.0600,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.100,0,10,0,0.0022,-0.0368,0.9982,-0.0070,-0.0648,0.0652,0,0,3.00,-3.4477,27.9938,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.200,0,10,0,0.0017,-0.0403,0.9981,-0.0074,-0.0664,0.0668,0,0,3.00,-3.4477,27.9938,28.2456,-17.9230,1.0058,6.1002,1.6932,0.6951,2.5000,96.12,288.88,0.0000,0.0000
1.300,0,10,0,0.0023,-0.0453,0.9984,-0.0019,-0.0596,0.0596,0,0,3.00,-3.4477,27.9938,28.2489,-17.9246,1.0058,6.0996,1.6932,0.6951,2.5000,100.70,284.30,0.0000,0.0000
