t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.100,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,0.0000,0.0000,1.0087,0.0000,0.0000,0.0000,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,0.0006,-0.0078,1.0093,0.0022,-0.0281,0.0282,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,0.0012,-0.0116,1.0100,0.0042,-0.0386,0.0388,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,0.0033,-0.0187,1.0109,0.0105,-0.0500,0.0511,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,0.0062,-0.0256,1.0117,0.0172,-0.0569,0.0594,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,0.0091,-0.0333,1.0127,0.0214,-0.0644,0.0678,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,0,0,0.0106,-0.0375,1.0137,0.0227,-0.0676,0.0713,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.900,0,0,0,0.0137,-0.0452,1.0146,0.0259,-0.0708,0.0754,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.000,0,10,0,0.0177,-0.0517,1.0155,0.0312,-0.0686,0.0754,0,0,3.00,-4.0715,27.6827,28.0342,9.5427,2.0645,6.1130,1.7172,0.7017,2.5000,nan,nan,0.0000,0.0000
1.100,0,10,0,0.0199,-0.0546,1.0164,0.0341,-0.0672,0.0754,0,0,3.00,-4.0715,27.6827,28.0375,9.5422,2.0645,6.1130,1.7172,0.7008,2.5000,100.90,284.10,0.0000,0.0000
1.200,0,10,0,0.0259,-0.0592,1.0180,0.0438,-0.0588,0.0733,0,0,3.00,-4.0715,27.6827,28.0428,9.5391,2.0645,6.1100,1.7174,0.6994,2.5000,108.63,276.37,0.0000,0.0000
1.300,0,10,0,0.0375,-0.0582,1.0216,0.0709,-0.0334,0.0784,0,0,3.00,-4.0715,27.6827,28.0436,9.5284,2.0645,6.1176,1.7178,0.6962,2.5000,114.02,270.98,0.0000,0.0000
