t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
29.100,entered_tolerance,0,0,start,2.9805,-0.1184,0.000
29.200,hold_started,0,0,start,2.9315,-0.1174,0.001
31.300,exited_tolerance,1,1,transit,18.3590,-0.1192,0.000
31.300,waypoint_reached,0,1,transit,18.3590,-0.1192,0.000
45.800,waypoint_reached,1,2,transit,15.4946,0.0656,0.000
54.200,entered_tolerance,2,2,transit,2.9530,0.8106,0.000
54.300,exited_tolerance,3,3,transit,17.2938,-0.1905,0.000
54.300,waypoint_reached,2,3,transit,17.2938,-0.1905,0.000
65.200,waypoint_reached,3,4,transit,19.2887,-0.0455,0.000
75.200,waypoint_reached,4,5,transit,22.5277,-0.1168,0.000
86.300,waypoint_reached,5,6,transit,22.2263,-0.1421,0.000
97.500,waypoint_reached,6,7,transit,23.2508,-0.1434,0.000
109.600,waypoint_reached,7,8,transit,16.3497,-0.1133,0.000
118.700,waypoint_reached,8,9,finish,23.5543,-0.1413,0.000
145.700,entered_tolerance,9,9,finish,2.9729,0.8731,0.001
145.700,hold_started,9,9,finish,2.9729,0.8731,0.001
148.800,route_completed,9,9,finish,0.0000,0.8970,0.000
