t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
29.300,entered_tolerance,0,0,start,2.9986,-0.0920,0.000
29.400,hold_started,0,0,start,2.9424,-0.0920,0.001
31.500,exited_tolerance,1,1,transit,15.6879,-0.1015,0.000
31.500,waypoint_reached,0,1,transit,15.6879,-0.1015,0.000
46.000,waypoint_reached,1,2,transit,10.4395,0.3710,0.000
57.400,waypoint_reached,2,3,transit,7.5681,0.5624,0.000
66.500,waypoint_reached,3,4,transit,8.2611,0.4972,0.000
74.600,waypoint_reached,4,5,transit,12.7019,0.3016,0.000
85.100,waypoint_reached,5,6,transit,8.4249,0.4726,0.000
95.200,waypoint_reached,6,7,transit,9.9305,0.4333,0.000
108.000,waypoint_reached,7,8,transit,7.1185,0.6191,0.000
117.400,waypoint_reached,8,9,finish,10.6736,0.4330,0.000
133.800,entered_tolerance,9,9,finish,2.9914,0.9887,0.000
133.900,hold_started,9,9,finish,2.9640,0.9923,0.001
137.000,route_completed,9,9,finish,0.0000,1.0528,0.000
