t,active_idx,total_waypoints,route_completed,x,y,yaw,vx,vy,speed,wp_id,mode_code,pos_tol,wp_x,wp_y,dist_to_wp,e_ct,chi_p,delta,psi_ref,heading_error,u_ref,left_thrust,right_thrust,left_angle,right_angle
0.000,0,0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.100,0,0,0,0.0000,0.0000,1.0093,0.0000,0.0000,0.0000,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.200,0,0,0,0.0009,-0.0075,1.0098,0.0034,-0.0273,0.0275,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.300,0,0,0,0.0030,-0.0146,1.0106,0.0100,-0.0428,0.0440,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.400,0,0,0,0.0045,-0.0181,1.0114,0.0136,-0.0476,0.0495,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.500,0,0,0,0.0074,-0.0253,1.0123,0.0193,-0.0567,0.0599,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.600,0,0,0,0.0088,-0.0292,1.0131,0.0212,-0.0614,0.0650,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.700,0,0,0,0.0117,-0.0372,1.0139,0.0241,-0.0682,0.0723,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.800,0,0,0,0.0153,-0.0443,1.0149,0.0283,-0.0691,0.0747,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
0.900,0,0,0,0.0175,-0.0475,1.0159,0.0311,-0.0676,0.0745,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.000,0,0,0,0.0220,-0.0538,1.0169,0.0363,-0.0660,0.0753,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000
1.100,0,10,0,0.0241,-0.0574,1.0175,0.0376,-0.0678,0.0775,0,0,3.00,-3.4780,28.0204,28.2954,-17.9908,1.0058,6.1163,1.6949,0.6774,2.5000,103.15,281.85,0.0000,0.0000
1.200,0,10,0,0.0241,-0.0574,1.0175,0.0376,-0.0678,0.0775,0,0,3.00,-3.4780,28.0204,28.2954,-17.9908,1.0058,6.1163,1.6949,0.6774,2.5000,103.15,281.85,0.0000,0.0000
1.300,0,10,0,0.0241,-0.0574,1.0175,0.0376,-0.0678,0.0775,0,0,3.00,-3.4780,28.0204,28.2954,-17.9908,1.0058,6.1163,1.6949,0.6774,2.5000,103.15,281.85,0.0000,0.0000
1.400,0,10,0,0.0260,-0.0619,1.0176,0.0374,-0.0715,0.0807,0,0,3.00,-3.4780,28.0204,28.3001,-17.9948,1.0058,6.1210,1.6949,0.6773,2.5000,98.66,286.34,0.0000,0.0000
1.500,0,10,0,0.0303,-0.0851,1.0199,0.0273,-0.0987,0.1024,0,0,3.00,-3.4780,28.0204,28.3236,-18.0108,1.0058,6.1536,1.6950,0.6751,2.5000,102.49,282.51,0.0000,0.0000
1.600,0,10,0,0.0364,-0.1049,1.0224,0.0313,-0.0956,0.1006,0,0,3.00,-3.4780,28.0204,28.3440,-18.0267,1.0058,6.1509,1.6951,0.6727,2.5000,112.64,272.36,0.0000,0.0000
1.700,0,10,0,0.0569,-0.0995,1.0284,0.0866,-0.0279,0.0909,0,0,3.00,-3.4780,28.0204,28.3412,-18.0411,1.0058,6.1364,1.6958,0.6674,2.5000,125.75,259.25,0.0000,0.0000
1.800,0,10,0,0.0801,-0.0841,1.0338,0.1397,0.0388,0.1450,0,0,3.00,-3.4780,28.0204,28.3289,-18.0524,1.0058,6.2175,1.6967,0.6629,2.5000,125.40,259.60,0.0000,0.0000
1.900,0,10,0,0.1096,-0.0587,1.0412,0.1969,0.1178,0.2295,0,0,3.00,-3.4780,28.0204,28.3074,-18.0638,1.0058,6.3442,1.6979,0.6566,2.5000,133.01,251.99,0.0000,0.0000
2.000,0,10,0,0.1453,-0.0228,1.0498,0.2554,0.2063,0.3283,0,0,3.00,-3.4780,28.0204,28.2763,-18.0747,1.0058,6.4925,1.6993,0.6495,2.5000,131.74,253.26,0.0000,0.0000
2.100,0,10,0,0.1868,0.0229,1.0582,0.3140,0.2982,0.4330,0,0,3.00,-3.4780,28.0204,28.2364,-18.0853,1.0058,6.6495,1.7010,0.6428,2.5000,138.37,246.63,0.0000,0.0000
2.200,0,10,0,0.2336,0.0766,1.0670,0.3701,0.3853,0.5343,0,0,3.00,-3.4780,28.0204,28.1892,-18.0960,1.0058,6.8014,1.7028,0.6358,2.5000,138.43,246.57,0.0000,0.0000
2.300,0,10,0,0.2841,0.1363,1.0774,0.4195,0.4627,0.6246,0,0,3.00,-3.4780,28.0204,28.1367,-18.1067,1.0058,6.9369,1.7049,0.6276,2.5000,139.05,245.95,0.0000,0.0000
2.400,0,10,0,0.3112,0.1691,1.0837,0.4398,0.4962,0.6630,0,0,3.00,-3.4780,28.0204,28.1079,-18.1120,1.0058,6.9945,1.7060,0.6223,2.5000,140.45,244.55,0.0000,0.0000
2.500,0,10,0,0.3372,0.2012,1.0925,0.4603,0.5306,0.7025,0,0,3.00,-3.4780,28.0204,28.0796,-18.1169,1.0058,7.0537,1.7071,0.6146,2.5000,140.23,244.77,0.0000,0.0000
2.600,0,10,0,0.3925,0.2712,1.1025,0.4941,0.5928,0.7717,0,0,3.00,-3.4780,28.0204,28.0178,-18.1260,1.0058,7.1576,1.7094,0.6069,2.5000,147.60,237.40,0.0000,0.0000
2.700,0,10,0,0.4502,0.3468,1.1126,0.5248,0.6526,0.8375,0,0,3.00,-3.4780,28.0204,27.9511,-18.1343,1.0058,7.2562,1.7118,0.5992,2.5000,141.08,243.92,0.0000,0.0000
2.800,0,10,0,0.5107,0.4279,1.1216,0.5542,0.7109,0.9014,0,0,3.00,-3.4780,28.0204,27.8793,-18.1420,1.0058,7.3521,1.7144,0.5927,2.5000,147.53,237.47,0.0000,0.0000
2.900,0,10,0,0.5735,0.5138,1.1330,0.5814,0.7655,0.9612,0,0,3.00,-3.4780,28.0204,27.8033,-18.1490,1.0058,7.4418,1.7170,0.5840,2.5000,147.15,237.85,0.0000,0.0000
3.000,0,10,0,0.6064,0.5597,1.1410,0.5918,0.7886,0.9859,0,0,3.00,-3.4780,28.0204,27.7628,-18.1523,1.0058,7.4789,1.7184,0.5775,2.5000,152.26,232.74,0.0000,0.0000
3.100,0,10,0,0.6710,0.6512,1.1501,0.6110,0.8344,1.0342,0,0,3.00,-3.4780,28.0204,27.6819,-18.1578,1.0058,7.5512,1.7212,0.5711,2.5000,147.51,237.49,0.0000,0.0000
3.200,0,10,0,0.7025,0.6968,1.1592,0.6200,0.8572,1.0579,0,0,3.00,-3.4780,28.0204,27.6416,-18.1600,1.0058,7.5869,1.7226,0.5634,2.5000,153.67,231.33,0.0000,0.0000
3.300,0,10,0,0.7677,0.7926,1.1693,0.6323,0.8944,1.0953,0,0,3.00,-3.4780,28.0204,27.5569,-18.1638,1.0058,7.6430,1.7255,0.5562,2.5000,150.18,234.82,0.0000,0.0000
3.400,0,10,0,0.8337,0.8908,1.1783,0.6424,0.9270,1.1279,0,0,3.00,-3.4780,28.0204,27.4701,-18.1669,1.0058,7.6918,1.7284,0.5501,2.5000,154.01,230.99,0.0000,0.0000
