env_name,route_name_clean,completed,total_time_sec,distance_travelled_m,straight_line_dist_m,path_efficiency,mean_speed_mps,max_speed_mps,mean_abs_cte_m,rms_cte_m,max_abs_cte_m,waypoints_completed,mean_u_ref,mean_left_thrust,mean_right_thrust,summary_file
env_01_calm,route_straight,1,143.7,193.061,183.354,0.9497,1.528,2.134,2.8982,4.2268,10.3498,9,2.6447,270.1752,271.7304,/home/misael/Desktop/output_los_pd/env_01_calm/summary/route_straight.yaml_20260414_120052_summary.csv
env_02_low,route_straight,1,139.5,195.501,183.185,0.937,1.532,2.1495,3.3879,4.4475,10.327,9,2.6716,415.2181,427.9652,/home/misael/Desktop/output_los_pd/env_02_low/summary/route_straight.yaml_20260414_122630_summary.csv
env_03_medium,route_straight,1,144.0,192.532,183.267,0.9519,1.5203,2.1263,2.8449,4.1651,10.3632,9,2.6745,267.6199,278.2054,/home/misael/Desktop/output_los_pd/env_03_medium/summary/route_straight.yaml_20260414_123644_summary.csv
env_04_high,route_straight,1,143.3,193.281,183.018,0.9469,1.49,2.1029,2.8376,4.0625,10.4364,9,2.6816,270.8436,275.7299,/home/misael/Desktop/output_los_pd/env_04_high/summary/route_straight.yaml_20260414_124620_summary.csv
env_05_severe,route_straight,1,148.8,194.972,183.189,0.9396,1.4598,2.096,3.0522,4.2288,10.4375,9,2.6509,328.4288,308.5241,/home/misael/Desktop/output_los_pd/env_05_severe/summary/route_straight.yaml_20260414_125532_summary.csv
env_01_calm,route_curves,1,140.6,225.504,179.803,0.7973,1.7509,2.158,2.5945,3.1061,9.5383,9,3.1952,333.7956,338.4004,/home/misael/Desktop/output_los_pd/env_01_calm/summary/route_curves.yaml_20260414_120418_summary.csv
env_02_low,route_curves,1,147.6,225.742,179.745,0.7962,1.7248,2.1525,2.5696,3.0987,9.5457,9,3.1707,328.8577,336.1583,/home/misael/Desktop/output_los_pd/env_02_low/summary/route_curves.yaml_20260414_122918_summary.csv
env_03_medium,route_curves,1,146.4,225.629,179.612,0.796,1.7228,2.1514,2.5526,3.14,9.5714,9,3.184,327.3164,341.2996,/home/misael/Desktop/output_los_pd/env_03_medium/summary/route_curves.yaml_20260414_124025_summary.csv
env_04_high,route_curves,1,199.2,245.516,179.812,0.7324,1.3667,2.1963,3.6253,4.7733,10.8123,9,3.2161,646.1114,634.4076,/home/misael/Desktop/output_los_pd/env_04_high/summary/route_curves.yaml_20260414_124905_summary.csv
env_05_severe,route_curves,1,173.2,234.253,182.728,0.78,1.6566,2.1712,2.754,3.4936,9.5427,9,3.1356,466.7075,450.8567,/home/misael/Desktop/output_los_pd/env_05_severe/summary/route_curves.yaml_20260414_125817_summary.csv
env_01_calm,route_zigzag,0,183.435,224.029,147.142,0.6568,1.369,2.0682,4.8151,6.3779,17.9531,9,2.1958,333.7793,322.8334,/home/misael/Desktop/output_los_pd/env_01_calm/summary/route_zigzag.yaml_20260414_120701_summary.csv
env_02_low,route_zigzag,0,200.07,192.377,171.021,0.889,1.0597,2.0317,10.214,12.7634,22.2869,9,2.1629,638.4933,663.2175,/home/misael/Desktop/output_los_pd/env_02_low/summary/route_zigzag.yaml_20260414_123211_summary.csv
env_03_medium,route_zigzag,1,122.7,168.491,152.28,0.9038,1.5255,2.0206,5.5148,7.344,17.9812,9,2.5635,270.0092,278.7177,/home/misael/Desktop/output_los_pd/env_03_medium/summary/route_zigzag.yaml_20260414_124316_summary.csv
env_04_high,route_zigzag,1,131.5,175.505,152.674,0.8699,1.5096,2.0165,5.7078,7.4553,18.063,9,2.5773,265.8544,264.6917,/home/misael/Desktop/output_los_pd/env_04_high/summary/route_zigzag.yaml_20260414_125241_summary.csv
env_05_severe,route_zigzag,1,137.0,182.12,153.651,0.8437,1.4869,1.9796,5.8476,7.5337,18.1708,9,2.5635,279.1593,249.2879,/home/misael/Desktop/output_los_pd/env_05_severe/summary/route_zigzag.yaml_20260414_130128_summary.csv
