t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
20.300,entered_tolerance,0,0,start,2.9773,-0.0829,0.001
20.300,hold_started,0,0,start,2.9773,-0.0829,0.001
22.400,waypoint_reached,0,1,transit,2.0374,-0.0161,0.000
22.500,exited_tolerance,1,1,transit,24.1143,-0.0139,0.000
33.200,entered_tolerance,2,2,transit,2.8824,-0.1032,0.000
33.200,waypoint_reached,1,2,transit,2.8824,-0.1032,0.000
33.300,exited_tolerance,2,2,transit,27.6750,-0.0971,0.000
43.600,entered_tolerance,3,3,transit,2.9240,-0.1015,0.000
43.600,waypoint_reached,2,3,transit,2.9240,-0.1015,0.000
43.700,exited_tolerance,3,3,transit,23.3220,-0.0961,0.000
52.700,entered_tolerance,4,4,transit,2.8463,-0.0490,0.000
52.700,waypoint_reached,3,4,transit,2.8463,-0.0490,0.000
52.800,exited_tolerance,4,4,transit,21.6879,-0.0418,0.000
60.700,entered_tolerance,5,5,transit,2.9202,-0.1298,0.000
60.700,waypoint_reached,4,5,transit,2.9202,-0.1298,0.000
60.800,exited_tolerance,5,5,transit,24.1523,-0.1241,0.000
71.000,entered_tolerance,6,6,transit,2.9224,-0.1242,0.000
71.000,waypoint_reached,5,6,transit,2.9224,-0.1242,0.000
71.100,exited_tolerance,6,6,transit,24.1329,-0.1203,0.000
83.900,entered_tolerance,7,7,transit,2.8801,-0.0471,0.000
83.900,waypoint_reached,6,7,transit,2.8801,-0.0471,0.000
84.000,exited_tolerance,7,7,transit,21.3893,-0.0454,0.000
106.700,entered_tolerance,8,8,transit,2.9379,-0.0866,0.000
106.700,waypoint_reached,7,8,transit,2.9379,-0.0866,0.000
106.800,exited_tolerance,8,8,transit,23.0981,-0.0780,0.000
131.100,entered_tolerance,9,9,finish,2.9810,-0.0274,0.000
131.100,waypoint_reached,8,9,finish,2.9810,-0.0274,0.000
131.200,exited_tolerance,9,9,finish,11.3943,-0.0089,0.000
143.400,entered_tolerance,9,9,finish,2.9800,0.7485,0.001
143.400,hold_started,9,9,finish,2.9800,0.7485,0.001
146.500,route_completed,9,9,finish,1.9133,0.8237,0.000
