t,event,active_idx,wp_id,mode,dist,proj,hold_elapsed
18.200,entered_tolerance,0,0,start,2.8518,-0.1618,0.001
18.200,hold_started,0,0,start,2.8518,-0.1618,0.001
20.300,exited_tolerance,1,1,transit,15.2238,-0.0757,0.000
20.300,waypoint_reached,0,1,transit,15.2238,-0.0757,0.000
27.100,waypoint_reached,1,2,transit,17.1910,-0.0862,0.000
35.100,entered_tolerance,2,2,transit,2.8698,0.8472,0.000
35.200,exited_tolerance,3,3,transit,17.5857,-0.1721,0.000
35.200,waypoint_reached,2,3,transit,17.5857,-0.1721,0.000
42.800,waypoint_reached,3,4,transit,17.7984,-0.1855,0.000
49.800,waypoint_reached,4,5,transit,20.7295,-0.1565,0.000
58.300,entered_tolerance,5,5,transit,2.9750,0.8955,0.000
58.400,exited_tolerance,6,6,transit,18.1159,-0.1766,0.000
58.400,waypoint_reached,5,6,transit,18.1159,-0.1766,0.000
66.000,entered_tolerance,6,6,transit,2.9293,0.8551,0.000
66.100,exited_tolerance,7,7,transit,19.5751,-0.1573,0.000
66.100,waypoint_reached,6,7,transit,19.5751,-0.1573,0.000
77.400,entered_tolerance,7,7,transit,2.9910,0.9382,0.000
77.500,exited_tolerance,8,8,transit,18.1625,-0.1856,0.000
77.500,waypoint_reached,7,8,transit,18.1625,-0.1856,0.000
89.300,entered_tolerance,8,8,transit,2.9807,0.9872,0.000
89.400,exited_tolerance,9,9,finish,19.8367,-0.1346,0.000
89.400,waypoint_reached,8,9,finish,19.8367,-0.1346,0.000
113.800,entered_tolerance,9,9,finish,2.9639,0.8396,0.000
113.900,hold_started,9,9,finish,2.9183,0.8419,0.001
117.000,route_completed,9,9,finish,0.0000,0.8464,0.000
