t,mode_code,shadow_mode,policy_source,x,y,yaw,vx,vy,speed,yaw_rate,psi_ref,u_ref,e_ct,chi_p,dist_to_wp,heading_error,pos_tol,hold_elapsed,hold_required,completed,seg_len,left_raw,right_raw,common_raw,diff_raw,delta_common,delta_diff,left_final,right_final
1.305,0,0,heuristic,0.0293,-0.0768,1.0201,0.0272,-0.0982,0.1019,-0.0118,1.7174,2.5000,9.5492,2.0645,28.0732,0.6974,3.0000,0.0000,2.0000,0,23.6757,110.0000,110.0000,110.0000,0.0000,32.3738,33.3736,109.0003,175.7474
1.355,0,0,heuristic,0.0301,-0.0828,1.0204,0.0251,-0.1035,0.1065,0.0018,1.7174,2.5000,9.5513,2.0645,28.0792,0.6970,3.0000,0.0000,2.0000,0,23.6757,110.0000,110.0000,110.0000,0.0000,32.3126,33.1341,109.1785,175.4467
1.405,0,0,heuristic,0.0312,-0.0884,1.0210,0.0244,-0.1044,0.1072,-0.0090,1.7174,2.5000,9.5530,2.0645,28.0849,0.6965,3.0000,0.0000,2.0000,0,23.6757,305.1891,239.4416,272.3153,-32.8738,32.3024,33.2940,304.1975,305.0379
1.455,0,0,heuristic,0.0333,-0.0920,1.0216,0.0284,-0.0983,0.1023,-0.0045,1.7175,2.5000,9.5528,2.0645,28.0888,0.6959,3.0000,0.0000,2.0000,0,23.6757,332.7999,261.2654,297.0327,-35.7673,32.3692,33.1968,331.9723,326.8314
1.505,0,0,heuristic,0.0333,-0.0920,1.0218,0.0284,-0.0983,0.1023,0.0077,1.7175,2.5000,9.5528,2.0645,28.0888,0.6957,3.0000,0.0000,2.0000,0,23.6757,428.8520,320.9012,374.8766,-53.9754,32.3692,32.9801,428.2411,386.2504
1.555,0,0,heuristic,0.0376,-0.0929,1.0226,0.0391,-0.0820,0.0909,0.0083,1.7176,2.5000,9.5495,2.0645,28.0902,0.6950,3.0000,0.0000,2.0000,0,23.6757,427.8803,327.3252,377.6028,-50.2775,32.5234,32.9474,427.4563,392.7960
1.605,0,0,heuristic,0.0441,-0.0899,1.0233,0.0587,-0.0532,0.0792,-0.0037,1.7179,2.5000,9.5423,2.0645,28.0883,0.6946,3.0000,0.0000,2.0000,0,23.6757,503.6943,342.7234,423.2088,-80.4854,32.6808,33.1334,503.2416,408.5376
1.655,0,0,heuristic,0.0543,-0.0818,1.0240,0.0859,-0.0113,0.0866,-0.0020,1.7183,2.5000,9.5295,2.0645,28.0817,0.6943,3.0000,0.0000,2.0000,0,23.6757,535.9332,302.4393,419.1862,-116.7469,32.5803,33.0890,535.4244,368.1086
1.705,0,0,heuristic,0.0669,-0.0691,1.0247,0.1212,0.0438,0.1289,-0.0027,1.7188,2.5000,9.5124,2.0645,28.0710,0.6941,3.0000,0.0000,2.0000,0,23.6757,593.8782,281.4866,437.6824,-156.1958,32.0099,33.0942,592.7939,346.5907
1.754,0,0,heuristic,0.0837,-0.0496,1.0252,0.1616,0.1101,0.1955,-0.0240,1.7195,2.5000,9.4884,2.0645,28.0542,0.6943,3.0000,0.0000,2.0000,0,23.6757,629.7593,373.5316,501.6455,-128.1139,31.1105,33.4581,627.4118,438.1001
