t,mode_code,shadow_mode,policy_source,x,y,yaw,vx,vy,speed,yaw_rate,psi_ref,u_ref,e_ct,chi_p,dist_to_wp,heading_error,pos_tol,hold_elapsed,hold_required,completed,seg_len,left_raw,right_raw,common_raw,diff_raw,delta_common,delta_diff,left_final,right_final
2.286,0,1,heuristic,-0.0007,-0.0015,0.9987,-0.0007,-0.0016,0.0017,-0.0278,1.6897,2.5000,-8.6684,1.3629,27.0093,0.6909,3.0000,0.0000,2.0000,0,16.3315,110.0000,110.0000,110.0000,0.0000,0.0000,0.0000,110.0000,110.0000
2.336,0,1,heuristic,-0.0007,-0.0015,0.9987,-0.0007,-0.0016,0.0017,0.0010,1.6897,2.5000,-8.6686,1.3629,27.0088,0.6910,3.0000,0.0000,2.0000,0,16.3315,136.7602,220.0000,178.3801,41.6199,0.0000,0.0000,136.7602,220.0000
2.386,0,1,heuristic,-0.0000,-0.0006,0.9986,0.0020,0.0021,0.0029,0.0047,1.6897,2.5000,-8.6686,1.3629,27.0088,0.6910,3.0000,0.0000,2.0000,0,16.3315,99.7450,269.4330,184.5890,84.8440,0.0000,0.0000,99.7450,269.4330
2.436,0,1,heuristic,0.0008,0.0006,0.9986,0.0051,0.0069,0.0085,0.0120,1.6897,2.5000,-8.6691,1.3629,27.0081,0.6911,3.0000,0.0000,2.0000,0,16.3315,60.9380,319.6498,190.2939,129.3559,0.0000,0.0000,60.9380,319.6498
2.486,0,1,heuristic,0.0008,0.0006,0.9986,0.0051,0.0069,0.0085,0.0037,1.6897,2.5000,-8.6696,1.3629,27.0069,0.6911,3.0000,0.0000,2.0000,0,16.3315,8.5976,341.9148,175.2562,166.6586,0.0000,0.0000,8.5976,341.9148
2.536,0,1,heuristic,0.0027,0.0034,0.9986,0.0115,0.0160,0.0197,-0.0005,1.6897,2.5000,-8.6696,1.3629,27.0069,0.6912,3.0000,0.0000,2.0000,0,16.3315,-96.6341,315.3342,109.3501,205.9841,0.0000,0.0000,-96.6341,315.3342
2.586,0,1,heuristic,0.0061,0.0074,0.9990,0.0233,0.0295,0.0375,0.0382,1.6898,2.5000,-8.6710,1.3629,27.0044,0.6912,3.0000,0.0000,2.0000,0,16.3315,-115.2216,369.0680,126.9232,242.1448,0.0000,0.0000,-115.2216,369.0680
2.636,0,1,heuristic,0.0061,0.0074,0.9997,0.0233,0.0295,0.0375,0.0508,1.6900,2.5000,-8.6735,1.3629,27.0009,0.6910,3.0000,0.0000,2.0000,0,16.3315,-36.2039,373.0848,168.4404,204.6444,0.0000,0.0000,-36.2039,373.0848
2.686,0,1,heuristic,0.0116,0.0128,1.0015,0.0397,0.0444,0.0595,0.0892,1.6900,2.5000,-8.6735,1.3629,27.0009,0.6903,3.0000,0.0000,2.0000,0,16.3315,-105.8129,483.0848,188.6360,294.4488,0.0000,0.0000,-105.8129,483.0848
2.736,0,1,heuristic,0.0182,0.0185,1.0030,0.0592,0.0594,0.0838,0.1013,1.6902,2.5000,-8.6777,1.3629,26.9961,0.6887,3.0000,0.0000,2.0000,0,16.3315,-96.7462,593.0423,248.1480,344.8942,0.0000,0.0000,-96.7462,593.0423
2.786,0,1,heuristic,0.0267,0.0258,1.0059,0.0803,0.0754,0.1102,0.1050,1.6904,2.5000,-8.6830,1.3629,26.9912,0.6874,3.0000,0.0000,2.0000,0,16.3315,-143.6349,607.3051,231.8351,375.4700,0.0000,0.0000,-143.6349,607.3051
