t,mode_code,shadow_mode,policy_source,x,y,yaw,vx,vy,speed,yaw_rate,psi_ref,u_ref,e_ct,chi_p,dist_to_wp,heading_error,pos_tol,hold_elapsed,hold_required,completed,seg_len,left_raw,right_raw,common_raw,diff_raw,delta_common,delta_diff,left_final,right_final
1.118,0,0,heuristic,0.0215,-0.0615,1.0162,0.0343,-0.0681,0.0763,0.0047,1.6947,2.5000,-17.9800,1.0058,28.2848,0.6790,3.0000,0.0000,2.0000,0,14.1273,110.0000,110.0000,110.0000,0.0000,32.7203,20.3821,122.3382,163.1024
1.168,0,0,heuristic,0.0239,-0.0648,1.0167,0.0365,-0.0674,0.0766,0.0135,1.6948,2.5000,-17.9834,1.0058,28.2880,0.6786,3.0000,0.0000,2.0000,0,14.1273,168.4260,220.0000,194.2130,25.7870,32.7159,20.2159,180.9260,272.9318
1.218,0,0,heuristic,0.0259,-0.0683,1.0172,0.0377,-0.0686,0.0783,0.0208,1.6948,2.5000,-17.9872,1.0058,28.2916,0.6781,3.0000,0.0000,2.0000,0,14.1273,141.4442,260.8796,201.1619,59.7177,32.6936,20.0791,154.0587,313.6523
1.268,0,0,heuristic,0.0285,-0.0714,1.0178,0.0400,-0.0665,0.0777,0.0302,1.6949,2.5000,-17.9908,1.0058,28.2953,0.6777,3.0000,0.0000,2.0000,0,14.1273,109.2438,307.3748,208.3093,99.0655,32.7016,19.8974,122.0480,359.9738
1.318,0,0,heuristic,0.0322,-0.0727,1.0184,0.0476,-0.0588,0.0756,0.0403,1.6950,2.5000,-17.9946,1.0058,28.2987,0.6771,3.0000,0.0000,2.0000,0,14.1273,120.1446,362.8607,241.5027,121.3581,32.7289,19.7082,133.1653,415.2978
1.369,0,0,heuristic,0.0381,-0.0720,1.0195,0.0607,-0.0445,0.0752,0.0550,1.6951,2.5000,-17.9984,1.0058,28.3005,0.6766,3.0000,0.0000,2.0000,0,14.1273,29.4195,469.3998,249.4097,219.9901,32.7347,19.4232,42.7311,521.5577
1.418,0,0,heuristic,0.0458,-0.0691,1.0211,0.0805,-0.0231,0.0838,0.0548,1.6953,2.5000,-18.0030,1.0058,28.3005,0.6758,3.0000,0.0000,2.0000,0,14.1273,10.1112,506.6815,258.3963,248.2851,32.6192,19.3736,23.3569,558.6743
1.469,0,0,heuristic,0.0568,-0.0626,1.0234,0.1069,0.0063,0.1071,0.0790,1.6956,2.5000,-18.0079,1.0058,28.2985,0.6745,3.0000,0.0000,2.0000,0,14.1273,-8.5058,553.9062,272.7002,281.2060,32.3038,18.8857,4.9123,605.0958
1.519,0,0,heuristic,0.0704,-0.0531,1.0269,0.1420,0.0447,0.1488,0.1235,1.6960,2.5000,-18.0138,1.0058,28.2935,0.6725,3.0000,0.0000,2.0000,0,14.1273,11.8864,628.1626,320.0245,308.1381,31.7409,18.0216,25.6057,677.9251
1.568,0,0,heuristic,0.0884,-0.0387,1.0316,0.1831,0.0912,0.2046,0.1442,1.6965,2.5000,-18.0202,1.0058,28.2858,0.6697,3.0000,0.0000,2.0000,0,14.1273,74.3613,738.1626,406.2619,331.9006,30.9877,17.5062,87.8429,786.6565
