step,critic_loss,actor_loss,val_bc_loss,lambda
5000,0.00730872,3.00906467,0.01338278,1.789072
10000,0.01476964,3.01165342,0.01250982,0.584886
15000,0.02475318,3.00992870,0.01275570,0.633869
20000,0.03971689,3.01157737,0.01350372,0.532086
25000,0.07860549,3.01029468,0.01448120,0.474664
30000,0.05504988,3.01156306,0.01467400,0.469983
35000,0.11921100,3.01280427,0.01478246,0.337327
40000,0.06717430,3.01244569,0.01418037,0.378957
45000,0.05594080,3.01290250,0.01476434,0.328136
50000,0.41591823,3.01246405,0.01422898,0.415004
55000,0.09234685,3.01357818,0.01579953,0.376427
60000,0.10535413,3.01353860,0.01530410,0.390796
65000,0.06972088,3.01246738,0.01468740,0.371486
70000,0.09778273,3.01024914,0.01391373,0.379929
75000,0.08938996,3.01223969,0.01466606,0.395361
80000,0.05242443,3.01083827,0.01430889,0.435682
85000,0.08970854,3.01390576,0.01513934,0.392595
90000,0.04757386,3.01335430,0.01495887,0.448671
95000,0.07220298,3.01177216,0.01305330,0.386353
100000,0.06705575,3.01138020,0.01388930,0.309252
105000,0.05750853,3.01375651,0.01470749,0.431823
110000,0.04777813,3.01253033,0.01527180,0.325844
115000,0.05869254,3.01232433,0.01383173,0.369724
120000,0.06898625,3.01326251,0.01422624,0.439130
125000,0.04238335,3.01099229,0.01412341,0.393649
130000,0.05697700,3.01193452,0.01435831,0.356326
135000,0.03793469,3.01172638,0.01360830,0.430674
140000,0.04664905,3.01222706,0.01387252,0.518504
145000,0.05397793,3.01151156,0.01435764,0.403096
150000,0.06337230,3.01107407,0.01365259,0.465548
155000,0.06115285,3.01078486,0.01450082,0.323103
160000,0.04213596,3.01290751,0.01440760,0.464823
165000,0.06877654,3.01173449,0.01501529,0.416080
170000,0.08438261,3.00933981,0.01401255,0.393356
175000,0.07875605,3.01292467,0.01502536,0.317502
180000,0.07927699,3.01354742,0.01489828,0.325529
185000,0.05929193,3.01372552,0.01624041,0.361470
190000,0.07732636,3.01543045,0.01697808,0.354056
195000,0.04280390,3.01395774,0.01510477,0.336797
200000,0.07064617,3.01464725,0.01587103,0.386286
